"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Алексюк
Леонід
Михайлович","Білак
Іван
Іванович","Галамай
Йосиф
Іванович","Денькович
Іван
Васильович","Дубневич
Ярослав
Васильович","Куп’як
Іван
Петрович","Петришин
Андрій
Михайлович","Тиндик
Андрій
Богданович","Чорновол
Тетяна
Миколаївна","Дата підписання протоколу"
"461067","120","Львівська область","школа, коридор
вул.Шевченка, 44, с.Мала Білина, Самбірський р-н, Львівська обл., 81468","344","85","337","32","227","32","259","","0","227","32","259","7","252","1","9","0","6","112","1","0","8","115","29.10.12"
"461068","120","Львівська область","школа, класна кімната
вул.Дублянська, 24, с.Велика Озимина, Самбірський р-н, Львівська обл., 81478","184","28","181","17","139","17","156","","0","139","17","156","5","151","1","10","1","3","47","6","0","4","79","29.10.12"
"461069","120","Львівська область","Народний дім, актова зала
вул.В.Федика, народний дім, с.Мала Озимина, Самбірський р-н, Львівська обл., 81478","112","23","107","6","84","5","89","","0","84","5","89","2","87","0","19","0","2","15","0","0","1","50","29.10.12"
"461070","120","Львівська область","Народний дім, танцювальна зала
вул.Шевченка, 18, с.Верхівці, Самбірський р-н, Львівська обл., 81421","704","232","692","50","422","50","472","","0","422","50","472","4","468","0","9","0","15","299","2","0","7","136","29.10.12"
"461071","120","Львівська область","Народний дім, танцювальна зала
вул.Сонячна, 5, с.Рогізно, Самбірський р-н, Львівська обл., 81421","400","144","395","38","222","34","256","","0","222","34","256","11","245","2","4","1","3","113","4","1","2","115","29.10.12"
"461072","120","Львівська область","Народний дім, актова зала
вул.Жовтнева, 77, с.Викоти, Самбірський р-н, Львівська обл., 81454","1360","331","1343","63","966","63","1029","","0","966","63","1029","94","935","0","24","1","14","736","5","2","25","128","29.10.12"
"461073","120","Львівська область","Вільшаницька сільська рада, зала засідань
вул.Шевченка, 5, с.Вільшаник, Самбірський р-н, Львівська обл., 81481","928","293","921","56","579","56","635","","0","579","56","635","6","629","1","57","0","5","175","4","2","12","373","29.10.12"
"461074","120","Львівська область","Народний дім, глядацька зала
вул.І.Франка, 36, с.Черхава, Самбірський р-н, Львівська обл., 81481","352","110","345","26","216","26","242","","0","216","26","242","6","236","1","29","1","2","95","2","0","5","101","29.10.12"
"461075","120","Львівська область","Народний дім, актова зала
вул.Василенко, 82, с.Баранівці, Самбірський р-н, Львівська обл., 81424","808","224","799","61","523","61","584","","0","523","61","584","19","565","4","29","1","15","224","4","0","20","268","29.10.12"
"461076","120","Львівська область","Народний дім, фойє
вул.М.Шашкевича, 61, с.Берестяни, Самбірський р-н, Львівська обл., 81423","504","117","501","52","335","52","387","","0","335","52","387","5","382","4","16","0","10","131","4","2","13","202","29.10.12"
"461077","120","Львівська область","Народний дім, актова зала
вул.В.Цимбрили, 24, с.Воля-Баранецька, Самбірський р-н, Львівська обл., 81424","672","171","658","56","446","55","501","","0","446","55","501","10","491","0","14","0","0","252","3","2","17","203","29.10.12"
"461078","120","Львівська область","Народний дім, актова зала
вул.Сонячна, 29, с.Міжгайці, Самбірський р-н, Львівська обл., 81424","216","39","209","15","162","15","177","","0","162","15","177","3","174","0","7","0","3","94","1","1","2","66","29.10.12"
"461079","120","Львівська область","Народний дім, актова зала
вул.Центральна, 55, с.Вощанці, Самбірський р-н, Львівська обл., 81432","424","42","416","10","372","10","382","","0","372","10","382","7","375","0","11","0","14","232","11","1","6","100","29.10.12"
"461080","120","Львівська область","Народний дім, актова зала
вул.Пасічна, 3, с.Канафости, Самбірський р-н, Львівська обл., 81432","224","64","217","19","141","19","160","","0","141","19","160","1","159","0","6","0","0","72","0","1","2","78","29.10.12"
"461081","120","Львівська область","Народний дім, зала засідань
вул.Шкільна, 21, с.Воютичі, Самбірський р-н, Львівська обл., 81453","2128","671","2113","116","1342","115","1457","","0","1342","115","1457","27","1430","1","36","1","20","727","20","2","41","582","29.10.12"
"461082","120","Львівська область","Народний дім, актова зала
вул.Ів.Франка, 99, с.Гординя, Самбірський р-н, Львівська обл., 81466","712","175","701","89","453","84","537","","0","453","84","537","8","529","1","32","1","27","172","3","0","12","281","29.10.12"
"461083","120","Львівська область","Народний дім, фойє
вул.Самбірська, 31, с.Городище, Самбірський р-н, Львівська обл., 81477","392","85","388","20","287","20","307","","0","287","20","307","2","305","1","28","0","8","108","4","1","14","141","29.10.12"
"461084","120","Львівська область","школа, класна кімната
вул.Заставна, 1, с.Сіде, Самбірський р-н, Львівська обл., 81478","424","78","419","17","329","17","346","","0","329","17","346","5","341","0","27","1","15","121","2","3","7","165","28.10.12"
"461085","120","Львівська область","Народний дім №1, актова зала
вул.Шевченка, 29, смт Дубляни, Самбірський р-н, Львівська обл., 81470","1176","255","1163","105","818","103","921","","0","818","103","921","1","920","0","21","0","3","704","0","0","3","189","29.10.12"
"461086","120","Львівська область","Народний дім №2, актова зала
вул.Ів.Франка, 58, смт Дубляни, Самбірський р-н, Львівська обл., 81470","416","73","411","43","302","41","343","","0","302","41","343","4","339","0","14","0","4","232","2","0","0","87","29.10.12"
"461087","120","Львівська область","Народний дім, актова зала
вул.Самбірська, 2, с.Калинів, Самбірський р-н, Львівська обл., 81464","344","84","336","25","236","24","260","","0","236","24","260","5","255","0","15","0","4","91","2","0","8","135","29.10.12"
"461088","120","Львівська область","Народний дім, актова зала
вул.Сагайдачного, 1, с.Кружики, Самбірський р-н, Львівська обл., 81464","264","85","255","15","165","14","179","","0","165","14","179","5","174","1","12","0","4","49","9","0","3","96","29.10.12"
"461089","120","Львівська область","школа, актова зала
вул.Грушевського, 6, с.Корналовичі, Самбірський р-н, Львівська обл., 81463","696","160","693","60","483","53","536","","0","483","53","536","14","522","6","9","1","13","374","7","0","12","100","29.10.12"
"461090","120","Львівська область","школа, фойє
вул.Шкільна, 1, с.Корничі, Самбірський р-н, Львівська обл., 81425","216","40","215","42","135","41","176","","0","135","41","176","2","174","0","4","0","2","90","7","0","0","71","29.10.12"
"461091","120","Львівська область","Корницька сільська рада, зала урочистих подій
вул.Весела, 2, с.Корничі, Самбірський р-н, Львівська обл., 81425","272","80","267","25","172","20","192","","0","172","20","192","1","191","0","12","0","0","27","5","0","5","142","29.10.12"
"461092","120","Львівська область","Навчально-виховний комплекс, актова зала
вул.Д.Поливки, 196, с.Кульчиці, Самбірський р-н, Львівська обл., 81476","1208","394","1195","63","751","63","814","","0","751","63","814","16","798","1","32","0","15","250","7","3","13","477","29.10.12"
"461093","120","Львівська область","Народний дім, актова зала
вул.40-річчя Перемоги, 9, с.Ваньковичі, Самбірський р-н, Львівська обл., 81433","240","23","241","10","207","10","217","","0","207","10","217","3","214","0","23","0","6","126","12","1","1","45","29.10.12"
"461094","120","Львівська область","Народний дім, актова зала
вул.Стрілецька, 2, с.Купновичі, Самбірський р-н, Львівська обл., 81433","304","62","296","25","217","25","242","","0","217","25","242","0","242","0","2","0","8","184","1","0","2","45","29.10.12"
"461095","120","Львівська область","Народний дім, актова зала
вул.Зелена, 3, с.Нижнє, Самбірський р-н, Львівська обл., 81433","208","57","197","12","139","12","151","","0","139","12","151","3","148","0","14","0","4","78","10","2","5","35","29.10.12"
"461096","120","Львівська область","школа, класна кімната
вул.Січових стрільців, 2, с.Залужани, Самбірський р-н, Львівська обл., 81472","152","42","149","21","89","21","110","","0","89","21","110","2","108","0","4","0","0","50","0","0","4","50","29.10.12"
"461097","120","Львівська область","школа, класна кімната
вул.Шкільна, 12, с.Лука, Самбірський р-н, Львівська обл., 81472","168","62","161","16","92","14","106","","0","92","14","106","1","105","1","6","0","3","34","0","0","1","60","29.10.12"
"461098","120","Львівська область","Народний дім, глядацька зала
вул.Шевченка, 30, с.Майнич, Самбірський р-н, Львівська обл., 81472","160","46","114","12","102","12","114","","0","102","12","114","6","108","0","10","0","9","52","1","0","0","36","29.10.12"
"461099","120","Львівська область","Народний дім, актова зала
вул.Шкільна, 13, с.Луки, Самбірський р-н, Львівська обл., 81435","656","204","657","31","422","30","452","","0","422","30","452","4","448","1","22","0","8","168","6","0","16","227","29.10.12"
"461100","120","Львівська область","Навчально-виховний комплекс, актова зала
вул.Шкільна, 11, с.Луки, Самбірський р-н, Львівська обл., 81435","720","273","711","14","434","13","447","","0","434","13","447","9","438","0","28","0","6","144","8","1","9","242","29.10.12"
