"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрущенко
Андрій
Олександрович","Коб’ялковський
Михайло
Степанович","Кожан
Володимир
Дмитрович","Матвієнко
Ігор
Володимирович","Сенчук
Сергій
Степанович","Сех
Ірина
Ігорівна","Стецик
Юрій
Михайлович","Тлємішок
Наталія
Олександрівна","Туркевич
Леся
Йосипівна","Шульба
Михайло
Степанович","Щепанкевич
Іван
Станіславович","Яремків
Ольга
Михайлівна","Дата підписання протоколу"
"460631","119","Львівська область","народний дім, зала для голосування
вул.І.Франка, 40, с.Малі Нагірці, Кам’янка-Бузький р-н, Львівська обл., 80453","276","89","273","13","174","13","187","","0","174","13","187","14","173","12","6","10","1","17","107","4","3","2","2","4","5","28.10.12"
"460632","119","Львівська область","народний дім, зала для голосування
вул.С.Бандери, 1, с.Нова Лодина, Кам’янка-Бузький р-н, Львівська обл., 80453","48","16","46","11","22","10","32","","0","22","10","32","3","29","3","1","0","1","0","17","0","0","0","1","0","6","28.10.12"
"460633","119","Львівська область","народний дім, зала для голосування
вул.Б. Хмельницького, 1, с.Соколів, Кам’янка-Бузький р-н, Львівська обл., 80441","258","52","255","26","180","26","206","","0","180","26","206","3","203","13","15","9","1","23","123","1","1","0","4","12","1","28.10.12"
"460634","119","Львівська область","школа, зала для голосування
вул.Центральна, 3, с.Вирів, Кам’янка-Бузький р-н, Львівська обл., 80441","252","72","245","17","163","17","180","","0","163","17","180","7","173","17","9","6","2","10","112","2","1","2","4","7","1","28.10.12"
"460635","119","Львівська область","народний дім, зала для голосування
вул.Центральна, 30, с.Якимів, Кам’янка-Бузький р-н, Львівська обл., 80441","192","34","187","19","140","18","158","","0","140","18","158","5","153","4","8","0","0","8","126","2","1","0","1","1","2","28.10.12"
"460636","119","Львівська область","школа, зала для голосування
вул.Центральна, школа, с.Горпин, Кам’янка-Бузький р-н, Львівська обл., 80442","426","151","422","28","247","28","275","","0","247","28","275","14","261","41","18","9","5","26","122","8","2","5","3","14","8","29.10.12"
"460637","119","Львівська область","школа, зала для голосування
вул.Незалежності, 36, с.Дідилів, Кам’янка-Бузький р-н, Львівська обл., 80462","912","275","907","66","575","62","637","","0","575","62","637","9","628","59","31","22","9","33","424","3","1","4","0","28","14","28.10.12"
"460638","119","Львівська область","бібліотека, зала для голосування
вул.Б.Хмельницького, 17, с.Хренів, Кам’янка-Бузький р-н, Львівська обл., 80462","198","47","195","16","135","16","151","","0","135","16","151","14","137","16","6","9","0","8","74","1","1","0","1","4","17","31.10.12"
"460639","119","Львівська область","народний дім, зала для голосування
вул.І.Франка, 1, с.Великі Підліски, Кам’янка-Бузький р-н, Львівська обл., 80462","180","45","177","19","116","19","135","","0","116","19","135","7","128","11","9","7","1","1","91","0","0","1","0","5","2","01.11.12"
"460640","119","Львівська область","народний дім, зала для голосування
вул.Л.Українки, 2, с.Дернів, Кам’янка-Бузький р-н, Львівська обл., 80430","606","161","603","50","398","47","445","","0","398","47","445","12","433","22","26","14","4","35","272","10","3","0","4","29","14","29.10.12"
"460641","119","Львівська область","народний дім, зала для голосування
вул.А.Шептицького, 22Б, с.Дальнич, Кам’янка-Бузький р-н, Львівська обл., 80406","210","65","202","16","129","16","145","","0","129","16","145","2","143","5","4","16","25","8","69","2","2","1","2","6","3","01.11.12"
"460642","119","Львівська область","сільська рада, зала для голосування
вул.В.Великого, 92, с.Сапіжанка, Кам’янка-Бузький р-н, Львівська обл., 80406","528","196","519","24","313","19","332","","0","313","19","332","13","319","8","19","42","2","16","166","9","2","2","5","38","10","29.10.12"
"460643","119","Львівська область","магазин, зала для голосування
вул.П.Сагайдачного, 1, с.Товмач, Кам’янка-Бузький р-н, Львівська обл., 80406","156","38","157","20","99","19","118","","0","99","19","118","6","112","2","19","7","4","7","58","6","0","2","1","4","2","28.10.12"
"460649","119","Львівська область","школа (Загаї), зала для голосування
вул.Загаївська, 145, с.Жовтанці, Кам’янка-Бузький р-н, Львівська обл., 80431","1080","393","1073","28","663","24","687","","0","663","24","687","19","668","37","15","43","12","64","384","17","6","3","2","57","28","29.10.12"
"460650","119","Львівська область","школа (центр), зала для голосування
вул.30-річчя Перемоги, 1, с.Жовтанці, Кам’янка-Бузький р-н, Львівська обл., 80431","1638","474","1619","77","1087","77","1164","","0","1087","77","1164","34","1130","45","13","51","11","61","758","22","4","6","3","109","47","29.10.12"
"460651","119","Львівська область","школа, зала для голосування
вул.Грабовецька, 4, с.Вихопні, Кам’янка-Бузький р-н, Львівська обл., 80432","468","106","470","24","338","24","362","","0","338","24","362","6","356","23","7","16","3","23","225","12","3","3","0","26","15","29.10.12"
"460652","119","Львівська область","школа, зала для голосування
вул.Підлісна, 31, с.Грабовець, Кам’янка-Бузький р-н, Львівська обл., 80431","108","17","107","2","89","2","91","","0","89","2","91","0","91","2","2","2","0","10","58","1","0","1","2","12","1","29.10.12"
"460653","119","Львівська область","народний дім, зала для голосування
вул.Шевченка, 11А, с.Колоденці, Кам’янка-Бузький р-н, Львівської обл., 80433","684","173","684","32","479","32","511","","0","479","32","511","13","498","17","15","30","4","34","321","2","2","5","2","55","11","29.10.12"
"460658","119","Львівська область","народний дім, зала для голосування
вул.Наукова, 9, с.Неслухів, Кам’янка-Бузький р-н, Львівська обл., 80455","828","243","828","52","537","48","585","","0","537","48","585","11","574","33","16","24","5","43","373","5","3","5","3","46","18","28.10.12"
"460663","119","Львівська область","школа, зала для голосування
вул.Незалежності, 23, с.Ременів, Кам’янка-Бузький р-н, Львівська обл., 80460","1098","299","1101","78","723","76","799","","0","723","76","799","22","777","44","13","26","3","73","495","8","5","3","4","72","31","29.10.12"
"460664","119","Львівська область","народний дім, зала для голосування
вул.С.Стрільців, 15, с.Вислобоки, Кам’янка-Бузький р-н, Львівська обл., 80460","330","65","329","14","251","14","265","","0","251","14","265","6","259","5","13","12","4","25","161","3","3","3","0","22","8","28.10.12"
"460670","119","Львівська область","школа, зала для голосування
вул.Галицька, 81, с.Старий Яричів, Кам’янка-Бузький р-н, Львівська обл., 80463","1380","465","1367","28","890","25","915","","0","890","25","915","21","894","444","9","8","4","17","350","3","2","5","3","29","20","28.10.12"
"460671","119","Львівська область","бібліотека, зала для голосування
вул.Ів.Франка, 1, с.Кукезів, Кам’янка-Бузький р-н, Львівська обл., 80465","264","68","257","7","189","7","196","","0","189","7","196","1","195","81","0","1","0","9","98","2","2","0","1","1","0","28.10.12"
"460672","119","Львівська область","народний дім, зала для голосування
вул.Галицька, 6, с.Руданці, Кам’янка-Бузький р-н, Львівська обл., 80464","432","117","427","20","296","19","315","","0","296","19","315","9","306","141","12","6","4","14","109","2","0","1","4","12","1","28.10.12"
"460673","119","Львівська область","народний дім, зала для голосування
вул.Шевченка, 2, с.Цеперів, Кам’янка-Бузький р-н, Львівської обл., 80463","180","45","172","7","128","7","135","","0","128","7","135","5","130","81","1","2","1","8","35","0","0","0","1","1","0","01.11.12"
"460674","119","Львівська область","народний дім, зала для голосування
вул.1-го Грудня, 30, с.Стрептів, Кам’янка-Бузький р-н, Львівської обл., 80451","774","274","768","31","470","30","500","","0","470","30","500","20","480","21","20","12","3","89","290","5","0","0","8","13","19","29.10.12"
"460675","119","Львівська область","школа, зала для голосування
вул.Шевченка, 27, с.Деревляни, Кам’янка-Бузький р-н, Львівської обл., 80452","318","97","314","13","208","13","221","","0","208","13","221","8","213","2","11","9","1","19","166","1","0","2","0","2","0","28.10.12"
"460676","119","Львівська область","народний дім, зала для голосування
вул.Незалежності, 22, с.Спас, Кам’янка-Бузький р-н, Львівська обл., 80451","180","43","181","2","135","2","137","","0","135","2","137","8","129","3","6","6","1","15","91","3","0","1","1","0","2","28.10.12"
"460677","119","Львівська область","столярний цех, зала для голосування
вул.Л.Українки, 20, с.Ямне, Кам’янка-Бузький р-н, Львівська обл., 80451","90","24","91","3","63","3","66","","0","63","3","66","4","62","0","7","5","2","19","24","1","0","1","0","2","1","28.10.12"
"460678","119","Львівська область","сільська рада, зала для голосування
вул.Шкільна, 7, с.Убині, Кам’янка-Бузький р-н, Львівська обл., 80454","264","49","260","22","195","20","215","","0","194","20","214","14","200","11","4","1","1","7","152","4","1","0","1","15","3","28.10.12"
"460679","119","Львівська область","лікарня, зала для голосування
вул.Перемоги, 29А, м.Кам’янка-Бузька, Кам’янка-Бузький р-н, Львівська обл., 80400","108","51","60","28","32","25","57","","0","32","25","57","1","56","0","10","2","0","2","38","1","0","0","0","2","1","29.10.12"
"461003","119","Львівська область","районний народний дім, малий зал
пл.В.Стуса, 3, м.Радехів, Радехівський р-н, Львівська обл., 80200","2424","860","2386","46","1523","41","1564","","0","1523","41","1564","27","1537","16","50","123","4","229","758","11","0","6","36","285","19","29.10.12"
"461004","119","Львівська область","школа №2, фойє
вул.Селезінків, 1, м.Радехів, Радехівський р-н, Львівська обл., 80200","2406","826","2379","45","1540","40","1580","","0","1540","40","1580","24","1556","8","24","90","7","189","870","7","1","0","28","323","9","29.10.12"
"461005","119","Львівська область","школа №1, фойє
вул.Шептицького, 4, м.Радехів, Радехівський р-н, Львівська обл., 80200","2316","873","2302","16","1428","15","1443","","0","1428","15","1443","28","1415","13","46","75","5","180","738","13","1","4","29","300","11","29.10.12"
"461006","119","Львівська область","народний дім, актова зала
вул.Центральна, 24А, смт Лопатин, Радехівський р-н, Львівська обл., 80261","2442","620","2444","128","1700","122","1822","","0","1700","122","1822","29","1793","6","14","17","1","1177","491","15","4","2","1","55","10","29.10.12"
"461007","119","Львівська область","народний дім, актова зала
вул.Шевченка, 2, с.Барилів, Радехівський р-н, Львівська обл., 80231","282","90","279","17","175","17","192","","0","175","17","192","7","185","1","2","4","2","62","99","0","0","0","3","10","2","29.10.12"
"461008","119","Львівська область","народний дім, актова зала
вул.Центральна, 18, с.Березівка, Радехівський р-н, Львівська обл., 80260","756","167","747","66","523","66","589","","0","523","66","589","10","579","1","10","4","3","97","433","1","1","0","2","24","3","28.10.12"
"461009","119","Львівська область","народний дім, актова зала
вул.Гайдамацька, 29, с.Грицеволя, Радехівський р-н, Львівська обл., 80260","396","115","390","55","228","53","281","","0","228","53","281","8","273","5","18","7","2","58","163","4","0","0","0","14","2","29.10.12"
"461010","119","Львівська область","народний дім, актова зала
вул.Гостинна, 72, с.Бишів, Радехівський р-н, Львівська обл., 80210","636","177","626","34","426","33","459","","0","426","33","459","11","448","12","11","7","6","22","349","3","1","4","3","26","4","29.10.12"
"461011","119","Львівська область","народний дім, актова зала
вул.Миру, 72, с.Торки, Радехівський р-н, Львівська обл., 80210","246","62","243","13","171","13","184","","0","171","13","184","3","181","0","13","0","0","7","146","2","0","0","1","9","3","28.10.12"
"461012","119","Львівська область","народний дім, актова зала
вул.Зелена, 15, с.Забава, Радехівський р-н, Львівська обл., 80210","138","38","137","10","91","9","100","","0","91","9","100","2","98","1","11","0","1","16","52","1","0","1","2","9","4","28.10.12"
"461013","119","Львівська область","народний дім, актова зала
вул.Б.Хмельницького, 27, с.Ордів, Радехівський р-н, Львівська обл., 80210","162","27","161","9","126","9","135","","0","126","9","135","7","128","0","4","4","1","19","85","1","0","0","3","11","0","28.10.12"
"461014","119","Львівська область","народний дім, фойє
вул.Львівська, 14А, с.Вузлове, Радехівський р-н, Львівська обл., 80252","1278","410","1266","44","827","41","868","","0","827","41","868","20","848","6","9","38","7","83","586","3","4","4","22","77","9","29.10.12"
