"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гурський
Володимир
Сергійович","Загородний
Василь
Іванович","Канівець
Олег
Леонідович","Канівець
Сергій
Миколайович","Кіт
Андрій
Богданович","Михайлишин
Петро
Степанович","Муряш
Андрій
Богданович","Осташ
Ігор
Іванович","Рябошапко
Василь
Іванович","Семенюк
Анна
Богданівна","Сидоренко
Олександр
Нестерович","Тенюх
Ігор
Йосифович","Дата підписання протоколу"
"461451","126","Львівська область","будинок культури, актовий зал, к.2
вул.Миру, 97, с.Воля-Довголуцька, Стрийський р-н, Львівська обл., 82453","330","69","328","12","249","12","261","","0","249","12","261","7","254","0","3","150","25","40","0","0","4","0","0","0","32","29.10.12"
"461452","126","Львівська область","будинок культури, актовий зал, к.2
пл.Перемоги, 7, с.Довголука, Стрийський р-н, Львівська обл., 82453","630","165","621","28","441","24","465","","0","441","24","465","18","447","2","11","236","31","107","0","0","11","0","1","0","48","29.10.12"
"461453","126","Львівська область","будинок культури, актовий зал, к.2
вул.Стрийська, 4, с.Верхня Лукавиця, Стрийський р-н, Львівська обл., 82481","300","59","293","18","224","17","241","","0","224","17","241","4","237","0","4","47","9","38","0","0","9","0","2","1","127","29.10.12"
"461454","126","Львівська область","школа, спортивний зал, к.2
вул.Болехівська, 14, с.Горішнє, Стрийський р-н, Львівська обл., 82481","234","41","234","11","183","10","193","","0","183","10","193","0","193","0","6","100","12","20","2","0","11","1","1","0","40","29.10.12"
"461455","126","Львівська область","сільська рада, зал засідань, к.2
пров.Багнянський, 2, с.Долішнє, Стрийський р-н, Львівська обл., 82480","450","108","445","21","321","21","342","","0","321","21","342","7","335","0","5","127","18","90","0","0","4","0","3","0","88","29.10.12"
"461456","126","Львівська область","школа, спортивний зал, к.2
вул.Л.України, 45, с.Нижня Лукавиця, Стрийський р-н, Львівська обл., 82480","288","64","288","15","210","14","224","","0","210","14","224","3","221","0","5","51","11","52","0","0","1","2","0","1","98","29.10.12"
"461457","126","Львівська область","будинок культури, актовий зал, к.2
вул.Заводська, 24, с.Дуліби, Стрийський р-н, Львівська обл., 82434","1464","428","1455","55","988","48","1036","","0","988","48","1036","11","1025","2","0","423","40","144","19","0","169","0","3","0","225","29.10.12"
"461458","126","Львівська область","школа-сад, спортивний зал, к.2
вул.Шевченка, 127, с.Дуліби, Стрийський р-н, Львівська обл., 82434","1440","512","1423","34","895","33","928","","0","895","33","928","12","916","1","5","348","21","176","8","0","77","0","7","7","266","29.10.12"
"461459","126","Львівська область","будинок культури, актовий зал, к.2
вул.Миру, 12, с.Жулин, Стрийський р-н, Львівська обл., 82470","744","164","742","37","546","34","580","","0","546","34","580","11","569","0","5","181","13","121","1","1","13","0","1","0","233","29.10.12"
"461460","126","Львівська область","школа, спортивний зал, к.2
вул.Т.Шевченка, 12, с.Завадів, Стрийський р-н, Львівська обл., 82433","900","206","896","42","654","40","694","","0","654","40","694","10","684","2","9","461","30","65","0","0","18","0","0","0","99","29.10.12"
"461461","126","Львівська область","будинок культури, актовий зал, к.2
вул.Шевченка, 2, с.Загірне, Стрийський р-н, Львівська обл., 82446","1020","290","1007","35","698","32","730","","0","698","32","730","9","721","2","78","316","26","141","3","0","23","0","3","3","126","29.10.12"
"461462","126","Львівська область","школа, к.6
вул.Польова, 7, с.Заплатин, Стрийский р-н, Львівська обл., 82400","114","29","109","0","85","0","85","","0","85","0","85","2","83","0","2","27","4","7","0","0","6","0","1","0","36","29.10.12"
"461463","126","Львівська область","будинок культури, актовий зал, к.2
вул.Нова, 16, с.Заплатин, Стрийський р-н, Львівська обл., 82400","408","100","399","18","290","18","308","","0","290","18","308","5","303","1","4","135","14","22","2","0","18","0","4","0","103","29.10.12"
"461464","126","Львівська область","будинок культури, актовий зал, к.2
вул.Шевченка, 113, с.Йосиповичі, Стрийський р-н, Львівська обл., 82445","696","93","685","33","570","33","603","","0","570","33","603","7","596","1","12","420","22","49","0","0","17","0","0","1","74","29.10.12"
"461465","126","Львівська область","сільська рада, зал засідань, к.2
вул.Стрийська, 5, с.Кавське, Стрийський р-н, Львівська обл., 82420","1092","388","1076","24","680","24","704","","0","680","24","704","14","690","4","9","334","40","128","0","1","17","0","4","3","150","29.10.12"
"461466","126","Львівська область","будинок культури, актовий зал, к.2
вул.Медична, 3, с.Колодниця, Стрийський р-н, Львівська обл., 82436","246","53","243","14","179","14","193","","0","179","14","193","4","189","1","6","128","4","33","0","0","3","0","0","0","14","29.10.12"
"461467","126","Львівська область","школа, к.2
вул.Гасина, 108, с.Конюхів, Стрийський р-н, Львівська обл., 82436","678","156","672","29","500","22","522","","0","500","22","522","9","513","0","3","228","29","119","1","0","22","0","1","0","110","29.10.12"
"461468","126","Львівська область","школа, спортивний зал, к.2
вул.Миру, 11, с.Ланівка, Стрийський р-н, Львівська обл., 82430","918","275","906","31","616","27","643","","0","616","27","643","14","629","2","28","240","34","147","3","0","10","2","3","0","160","29.10.12"
"461469","126","Львівська область","будинок культури, актовий зал, к.2
вул.Шкільна, 15, с.Баня Лисовицька, Стрийський р-н, Львівська обл., 82488","1380","377","1365","23","980","23","1003","","0","980","23","1003","20","983","1","3","389","39","171","4","0","16","1","7","5","347","29.10.12"
"461470","126","Львівська область","будинок культури, актовий зал, к.2
вул.Івана Франка, 34, с.Лисовичі, Стрийський р-н, Львівська обл., 82486","936","249","927","19","668","19","687","","0","668","19","687","5","682","0","7","356","22","95","0","0","7","5","1","2","187","29.10.12"
"461471","126","Львівська область","будинок культури, актовий зал, к.2
вул.Зелена, 17, с.Кути, Стрийський р-н, Львівська обл., 82421","312","77","306","18","220","15","235","","0","220","15","235","1","234","1","10","124","4","48","0","0","9","0","1","0","37","29.10.12"
