"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Браславець
Ольга
Василівна","Вінський
Йосип
Вікентійович","Герега
Олександр
Володимирович","Довгань
Валерій
Іванович","Купчик
Олег
Леонідович","Мусій
Мирослав
Ярославович","Орлов
Володимир
Іванович","Пятак
Галина
Василівна","Свято
Василь
Петрович","Дата підписання протоколу"
"680375","192","Хмельницька область","сільський клуб, актовий зал
вул.Шкільна, 3, с.Сокілець, Дунаєвецький р-н, Хмельницька обл., 32472","432","155","426","37","243","34","277","","0","243","34","277","9","268","3","60","148","1","26","26","3","0","1","28.10.12"
"680376","192","Хмельницька область","сільський будинок культури, фойє
вул.Базарна, 1А, с.Ставище, Дунаєвецький р-н, Хмельницька обл., 32431","432","97","430","31","307","28","335","","0","307","28","335","8","327","8","60","153","1","37","56","1","4","7","29.10.12"
"680377","192","Хмельницька область","школа, спорт зал
вул.Шевченка, 122А, с.Стара Гута, Дунаєвецький р-н, Хмельницька обл., 32422","688","258","672","37","393","37","430","","0","393","37","430","14","416","9","36","269","2","26","66","1","4","3","29.10.12"
"680378","192","Хмельницька область","будинок культури, глядацький зал
вул.Г.Атаманчука, 24А, с.Тернова, Дунаєвецький р-н, Хмельницька обл., 32416","528","148","531","50","330","50","380","","0","330","50","380","7","373","4","53","226","3","24","45","12","6","0","28.10.12"
"680379","192","Хмельницька область","фельдшерсько-акушерський пункт, фойє
вул.Молодіжна, 2, с.Тинна, Дунаєвецький р-н, Хмельницька обл., 32411","496","153","498","33","312","31","343","","0","312","31","343","6","337","1","30","212","1","35","53","1","1","3","28.10.12"
"680380","192","Хмельницька область","будинок культури, фойє
вул.Центральна, 53, с.Томашівка, Дунаєвецький р-н, Хмельницька обл., 32410","888","317","880","52","525","46","571","","0","525","46","571","26","545","7","130","316","2","31","50","4","5","0","29.10.12"
"680381","192","Хмельницька область","сільський клуб, танцювальний зал
вул.Саловського, 22, с.Удріївці, Дунаєвецький р-н, Хмельницька обл., 32415","352","78","353","28","247","27","274","","0","247","27","274","6","268","5","48","146","1","35","29","2","0","2","29.10.12"
"680382","192","Хмельницька область","будинок культури, актовий зал
вул.М.Ковальчука, 34, с.Чаньків, Дунаєвецький р-н, Хмельницька обл., 32442","952","261","937","56","635","56","691","","0","635","56","691","17","674","21","57","392","3","58","133","7","1","2","28.10.12"
"680383","192","Хмельницька область","фельдшерський пункт, оглядова
вул.Радянської Армії, 20, с.Степок, Дунаєвецький р-н, Хмельницька обл., 32440","96","33","96","7","56","7","63","","0","56","7","63","1","62","2","10","36","0","5","4","4","0","1","28.10.12"
"680384","192","Хмельницька область","сільський клуб, актовий зал
вул.Пролетарська, 33, с.Заставля, Дунаєвецький р-н, Хмельницька обл., 32443","584","180","577","25","379","25","404","","0","379","25","404","10","394","25","58","152","3","63","87","1","3","2","29.10.12"
"680385","192","Хмельницька область","сільський клуб, актовий зал
вул.Центральна, 14, с.Чечельник, Дунаєвецький р-н, Хмельницька обл., 32446","512","139","501","36","338","35","373","","0","338","35","373","8","365","2","60","256","1","16","17","7","4","2","29.10.12"
"680386","192","Хмельницька область","фельдшерський пункт, к.2
вул.Центральна, 6, с.Слобідка-Балинська, Дунаєвецький р-н, Хмельницька обл., 32446","264","83","272","24","157","24","181","","0","157","24","181","6","175","4","35","96","4","15","20","1","0","0","28.10.12"
"680387","192","Хмельницька область","обласна протитуберкульозна лікарня, адмінбудівля
вул.Лікарняна, 1, с.Голозубинці, Дунаєвецький р-н, Хмельницька обл., 32466","104","7","100","37","60","37","97","","0","60","37","97","3","94","1","2","81","1","6","1","1","1","0","29.10.12"
"681139","192","Хмельницька область","будинок культури, 1-й поверх
вул.Центральна, 61Б, смт Чемерівці, Чемеровецький р-н, Хмельницька обл., 31600","1256","557","1240","23","679","20","699","","0","679","20","699","15","684","17","81","380","35","46","97","9","4","15","29.10.12"
"681140","192","Хмельницька область","чемеровецький медичний коледж, фойє, 1-й поверх
вул.Центральна, 32, смт Чемерівці, Чемеровецький р-н, Хмельницька обл., 31600","856","336","846","20","500","20","520","","0","500","20","520","9","511","13","32","324","21","28","70","4","5","14","29.10.12"
"681141","192","Хмельницька область","школа №2, фойє
вул.Центральна, 3, смт Чемерівці, Чемеровецький р-н, Хмельницька обл., 31600","920","424","912","7","491","5","496","","0","491","5","496","12","484","16","66","262","14","31","68","7","2","18","29.10.12"
"681142","192","Хмельницька область","школа-сад, фойє
вул.Хмельницька, 11, смт Чемерівці, Чемеровецький р-н, Хмельницька обл., 31600","696","314","685","11","375","7","382","","0","375","7","382","13","369","11","33","212","13","21","65","3","0","11","29.10.12"
"681143","192","Хмельницька область","будинок культури, фойє, 1-й поверх
вул.Центральна, 9, смт Закупне, Чемеровецький р-н, Хмельницька обл., 31614","1128","493","1105","65","577","58","635","","0","577","58","635","15","620","8","95","334","8","30","119","13","5","8","29.10.12"
"681144","192","Хмельницька область","будинок культури, фойє
вул.Бринського, 78, с.Андріївка, Чемеровецький р-н, Хмельницька обл., 31633","488","120","482","34","336","32","368","","0","336","32","368","7","361","20","31","211","20","6","59","7","1","6","29.10.12"
"681145","192","Хмельницька область","сільський клуб, фойє
вул.Центральна, 67, с.Бережанка, Чемеровецький р-н, Хмельницька обл., 31600","888","294","878","86","520","74","594","","0","520","74","594","15","579","16","25","357","28","27","111","5","3","7","29.10.12"
"681146","192","Хмельницька область","будинок культури, фойє
вул.Жовтнева, 1, с.Біла, Чемеровецький р-н, Хмельницька обл., 31648","1000","414","990","79","516","70","586","","0","516","70","586","12","574","7","40","471","7","19","18","5","1","6","28.10.12"
"681147","192","Хмельницька область","Будинок культури
вул.Залізнична, 28, с.Вільхівці, Чемеровецький р-н, Хмельницька обл., 31615","1080","292","1066","119","679","109","788","","0","679","109","788","12","776","11","136","447","5","26","105","31","7","8","28.10.12"
"681148","192","Хмельницька область","сільський клуб
вул.Івана Франка, 11, с.Кузьминчик, Чемеровецький р-н, Хмельницька обл., 31615","168","39","160","31","99","30","129","","0","99","30","129","2","127","14","7","86","0","4","14","0","1","1","29.10.12"
"681149","192","Хмельницька область","будинок культури, фойє
вул.Миру, 56, с.Вівся, Чемеровецький р-н, Хмельницька обл., 31610","664","266","658","16","382","16","398","","0","382","16","398","5","393","3","57","224","10","14","66","13","3","3","29.10.12"
"681150","192","Хмельницька область","будинок культури, фойє
вул.Маліновського, 75, с.Вишнівчик, Чемеровецький р-н, Хмельницька обл., 31622","728","343","710","55","335","50","385","","0","335","50","385","10","375","5","68","198","2","13","78","4","3","4","29.10.12"
"681151","192","Хмельницька область","сільський клуб, фойє
вул.Заводська, 1, с.Вишнівчик, Чемеровецький р-н, Хмельницька обл., 31622","696","361","686","44","299","36","335","","0","299","36","335","9","326","4","45","170","5","14","65","9","7","7","29.10.12"
"681152","192","Хмельницька область","школа, їдальня
вул.Шевченка, 27, с.Завадівка, Чемеровецький р-н, Хмельницька обл., 31622","480","209","475","40","237","34","271","","0","237","34","271","6","265","8","27","120","0","8","92","4","3","3","29.10.12"
"681153","192","Хмельницька область","ФАП, к.3
вул.Івахова, 4, с.Слобідка-Скипчанська, Чемеровецький р-н, Хмельницька обл., 31624","152","56","146","30","71","25","96","","0","71","25","96","3","93","0","7","42","1","5","36","2","0","0","28.10.12"
"681154","192","Хмельницька область","адмінбудинок сільської ради, кімната засідань
вул.Леніна, 2, с.Голенищеве, Чемеровецький р-н, Хмельницька обл., 31611","416","107","402","37","272","37","309","","0","272","37","309","9","300","4","15","222","2","5","46","2","3","1","29.10.12"
"681155","192","Хмельницька область","будинок культури, фойє
вул.Радянська, 46А, с.Гусятин, Чемеровецький р-н, Хмельницька обл., 31617","896","319","888","72","514","63","577","","0","514","63","577","8","569","12","121","307","8","32","79","7","2","1","29.10.12"
"681156","192","Хмельницька область","сільський клуб, фойє
вул.Садова, 6А, с.Боднарівка, Чемеровецький р-н, Хмельницька обл., 31617","328","94","321","30","205","29","234","","0","205","29","234","4","230","1","57","136","1","4","26","2","1","2","28.10.12"
"681157","192","Хмельницька область","школа, спортивний зал
вул.Папаніна, 66, с.Гуків, Чемеровецький р-н, Хмельницька обл., 31660","560","199","549","56","307","54","361","","0","307","54","361","12","349","6","62","205","0","22","40","9","2","3","29.10.12"
"681158","192","Хмельницька область","сільський клуб, фойє
вул.Молодіжна, 11В, с.Мар’янівка, Чемеровецький р-н, Хмельницька обл., 31661","432","138","420","42","254","40","294","","0","254","40","294","6","288","10","13","181","2","2","79","1","0","0","29.10.12"
"681159","192","Хмельницька область","сільський клуб, фойє
вул.Набережна, 27А, с.Долинівка, Чемеровецький р-н, Хмельницька обл., 31660","88","26","82","8","54","8","62","","0","54","8","62","0","62","0","13","23","2","3","13","7","0","1","29.10.12"
"681160","192","Хмельницька область","сільський клуб, фойє
вул.Мрачківського, 3А, с.Бурти, Чемеровецький р-н, Хмельницька обл., 31660","64","20","62","2","42","2","44","","0","42","2","44","1","43","0","9","26","0","0","7","0","1","0","29.10.12"
"681161","192","Хмельницька область","школа, фойє
вул.Центральна, 36, с.Жабинці, Чемеровецький р-н, Хмельницька обл., 31650","488","154","480","40","298","36","334","","0","298","36","334","3","331","1","25","203","1","1","98","1","0","1","29.10.12"
"681162","192","Хмельницька область","будинок культури, фойє
вул.Лесі Українки, 16, с.Жердя, Чемеровецький р-н, Хмельницька обл., 31664","1168","474","1143","90","610","84","694","","0","610","84","694","26","668","8","33","431","7","19","117","14","3","36","29.10.12"
"681163","192","Хмельницька область","вул.Богдана Хмельницького, 50А с.Залуччя, Чемеровецький р-н, Хмельницька обл., 31646
вул.Богдана Хмельницького, 50А с.Залуччя, Чемеровецький р-н, Хмельницька обл., 31646","520","182","515","40","302","36","338","","0","302","36","338","5","333","6","93","149","1","18","55","6","2","3","29.10.12"
"681164","192","Хмельницька область","адмінбудинок сільської ради, кімната засідань
вул.Жовтнева, 1А, с.Черче, Чемеровецький р-н, Хмельницька обл., 31646","480","118","474","87","282","80","362","","0","282","80","362","10","352","9","53","212","0","13","47","8","3","7","29.10.12"
"681165","192","Хмельницька область","школа, фойє
вул.Леніна, 84, с.Зарічанка, Чемеровецький р-н, Хмельницька обл., 31652","632","130","619","43","461","41","502","","0","461","41","502","11","491","3","60","257","25","26","97","4","1","18","29.10.12"
"681166","192","Хмельницька область","торговий центр, хол
вул.Свердлова, 128, с.Драганівка, Чемеровецький р-н, Хмельницька обл., 31652","544","122","525","38","387","35","422","","0","387","35","422","17","405","6","35","222","41","14","73","1","1","12","29.10.12"
"681167","192","Хмельницька область","будинок культури, фойє
вул.Молодіжна, 1, с.Івахнівці, Чемеровецький р-н, Хмельницька обл., 31618","920","531","908","33","358","31","389","","0","358","31","389","13","376","5","29","237","6","12","74","4","4","5","28.10.12"
"681168","192","Хмельницька область","будинок культури, фойє
вул.Центральна, 20, с.Кочубіїв, Чемеровецький р-н, Хмельницька обл., 31665","632","267","622","92","280","85","365","","0","280","85","365","9","356","14","33","198","5","15","73","8","1","9","29.10.12"
"681169","192","Хмельницька область","будинок культури, фойє
вул.Головатюка, 18, с.Красноставці, Чемеровецький р-н, Хмельницька обл., 31666","808","272","802","69","470","66","536","","0","470","66","536","12","524","13","39","400","2","8","49","5","2","6","29.10.12"
"681170","192","Хмельницька область","будинок культури, фойє
вул.Незалежності, 2, с.Кормильча, Чемеровецький р-н, Хмельницька обл., 31655","512","128","505","44","345","39","384","","0","345","39","384","4","380","8","60","159","4","11","98","9","2","29","29.10.12"
"681171","192","Хмельницька область","сільський клуб, фойє
вул.Коробчука, 53, с.Ружа, Чемеровецький р-н, Хмельницька обл., 31655","176","27","173","25","124","25","149","","0","124","25","149","2","147","23","8","60","0","1","48","5","0","2","28.10.12"
"681172","192","Хмельницька область","будинок культури, фойє
вул.Пилипа Коновала, 7, с.Кутківці, Чемеровецький р-н, Хмельницька обл., 31612","976","407","966","53","519","50","569","","0","519","50","569","18","551","9","53","344","5","30","82","19","5","4","29.10.12"
"681173","192","Хмельницька область","сільський клуб, фойє
вул.Матросова, 46, с.Дубівка, Чемеровецький р-н, Хмельницька обл., 31612","128","38","125","13","79","11","90","","0","79","11","90","1","89","1","16","51","1","2","14","1","3","0","28.10.12"
"681174","192","Хмельницька область","школа, спортивний зал
вул.Центральна, 112, с.Кугаївці, Чемеровецький р-н, Хмельницька обл., 31632","1208","419","1199","119","680","109","789","","0","680","109","789","19","770","14","42","537","27","26","99","8","4","13","29.10.12"
"681175","192","Хмельницька область","будинок культури, фойє
вул.Дробного, 2, с.Летава, Чемеровецький р-н, Хмельницька обл., 31651","1424","595","1407","29","806","23","829","","0","806","23","829","51","778","29","102","499","7","34","87","9","3","8","29.10.12"
"681176","192","Хмельницька область","сільський клуб, фойє
вул.Центральна, 42, с.Чагарівка, Чемеровецький р-н, Хмельницька обл., 31651","128","38","117","10","80","10","90","","0","80","10","90","2","88","0","24","44","1","3","12","3","1","0","31.10.12"
"681177","192","Хмельницька область","сільський клуб, фойє
вул.Ленінградська, 1, с.Михайлівка, Чемеровецький р-н, Хмельницька обл., 31651","80","20","77","2","58","2","60","","0","58","2","60","2","58","1","8","10","0","1","36","2","0","0","29.10.12"
"681178","192","Хмельницька область","будинок культури, фойє
вул.Грушевського, 103А, с.Почапинці, Чемеровецький р-н, Хмельницька обл., 31654","872","416","866","35","429","27","456","","0","429","27","456","14","442","5","22","330","4","17","48","6","2","8","28.10.12"
"681179","192","Хмельницька область","будинок культури, фойє
вул.Леніна, 20, с.Пукляки, Чемеровецький р-н, Хмельницька обл., 31663","240","63","227","11","167","10","177","","0","167","10","177","3","174","2","14","125","1","1","28","2","0","1","29.10.12"
"681180","192","Хмельницька область","сільський клуб, фойє
вул.Леніна, 32, с.Мала Бережанка, Чемеровецький р-н, Хмельницька обл., 31663","208","45","201","20","145","18","163","","0","145","18","163","6","157","4","12","92","0","3","46","0","0","0","29.10.12"
"681181","192","Хмельницька область","будинок культури, фойє
вул.Гагаріна, 29, с.П’ятничани, Чемеровецький р-н, Хмельницька обл., 31662","392","98","393","34","262","32","294","","0","262","32","294","6","288","7","38","193","1","3","34","11","0","1","29.10.12"
"681182","192","Хмельницька область","будинок культури, фойє
вул.Шкільна, 19, с.Свіршківці, Чемеровецький р-н, Хмельницька обл., 31620","952","376","937","70","508","68","576","","0","508","68","576","12","564","7","26","401","3","22","85","6","6","8","29.10.12"
"681183","192","Хмельницька область","сільський клуб, фойє
вул.Кільцева, 5, с.Демківці, Чемеровецький р-н, Хмельницька обл., 31621","568","238","560","54","276","54","330","","0","276","54","330","6","324","17","15","198","10","5","73","2","2","2","29.10.12"
"681184","192","Хмельницька область","сільський клуб, фойє
вул.Котовського, 50А, с.Залісся, Чемеровецький р-н, Хмельницька обл., 31621","184","42","181","11","131","11","142","","0","131","11","142","4","138","29","5","79","1","6","13","3","1","1","29.10.12"
"681185","192","Хмельницька область","сільський клуб, фойє
вул.Пушкіна, 1А, с.Слобідка-Смотрицька, Чемеровецький р-н, Хмельницька обл., 31640","360","140","351","20","200","20","220","","0","200","20","220","9","211","8","38","117","7","3","33","3","1","1","29.10.12"
"681186","192","Хмельницька область","сільський клуб, фойє
вул.Центральна, 43, с.Гайове, Чемеровецький р-н, Хмельницька обл., 31640","192","66","190","19","110","16","126","","0","110","16","126","4","122","0","27","56","1","3","32","0","1","2","29.10.12"
"681187","192","Хмельницька область","сільський клуб, фойє
вул.Вишнева, 17, с.Нова Гута, Чемеровецький р-н, Хмельницька обл., 31640","104","26","97","12","66","12","78","","0","66","12","78","2","76","4","11","33","0","5","18","1","4","0","29.10.12"
"681188","192","Хмельницька область","школа, спортивний зал
вул.Шкільна, 1, с.Степанівка, Чемеровецький р-н, Хмельницька обл., 31644","544","156","527","68","324","64","388","","0","324","64","388","7","381","8","27","194","4","9","125","4","8","2","29.10.12"
"681189","192","Хмельницька область","будинок культури, фойє
вул.Центральна, 2, с.Сокиринці, Чемеровецький р-н, Хмельницька обл., 31635","392","127","384","44","229","36","265","","0","229","36","265","5","260","6","24","138","6","11","64","6","0","5","29.10.12"
"681190","192","Хмельницька область","сільський клуб, фойє
вул.Центральна, 1, с.Збриж, Чемеровецький р-н, Хмельницька обл., 31635","200","56","195","29","117","27","144","","0","117","27","144","3","141","5","42","71","0","6","15","0","2","0","28.10.12"
"681191","192","Хмельницька область","сільський клуб, фойє
вул.Яблунева, 20, с.Ленінське, Чемеровецький р-н, Хмельницька обл., 31635","104","32","102","9","65","7","72","","0","65","7","72","4","68","1","11","42","1","4","8","0","1","0","29.10.12"
"681192","192","Хмельницька область","будинок культури, фойє
вул.Броніслава Мельника, 1, с.Хропотова, Чемеровецький р-н, Хмельницька обл., 31641","616","245","602","49","328","43","371","","0","328","43","371","11","360","21","66","185","3","7","65","7","3","3","29.10.12"
