"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бочаров
Михайло
Григорович","Будкевич
Андрій
Андрійович","Головко
Михайло
Йосифович","Гульовський
Володимир
Орестович","Клименко
Володимир
Олександрович","Ковальчук
Іван
Григорович","Липка
Василь
Іванович","Ломакович
Віталій
Афанасійович","Муц
Орест
Павлович","Негода
Любомир
Миколайович","Пліш
Іван
Едуардович","Самойлович
Костянтин
Альбінович","Тарасенко
Андрій
Іванович","Дата підписання протоколу"
"610328","164","Тернопільська область","магазин ПП Складанюк В.Д., торговий зал
вул.Івана Франка, бічна, 2А, с.Базаринці, Збаразький р-н, Тернопільська обл., 47305","516","129","521","22","365","22","387","","0","365","22","387","4","383","10","1","272","8","40","1","10","24","17","0","0","0","0","29.10.12"
"610329","164","Тернопільська область","сільський клуб, танцювальний зал, вул.Довга, 22, с.Тарасівка
вул.Довга, 24, с.Тарасівка, Збаразький р-н, Тернопільська обл., 47305","330","87","331","29","215","28","243","","0","215","28","243","8","235","6","2","116","6","45","1","10","22","27","0","0","0","0","29.10.12"
"610330","164","Тернопільська область","сільський клуб, концертний зал
вул.Лісова, 1, с.Чорний Ліс, Збаразький р-н, Тернопільська обл., 47305","114","25","114","7","82","7","89","","0","82","7","89","0","89","3","0","50","2","8","1","6","8","10","0","1","0","0","29.10.12"
"610331","164","Тернопільська область","школа, актова зала
вул.Шкільна, 12, с.Бодаки, Збаразький р-н, Тернопільська обл., 47323","798","310","789","62","427","61","488","","0","427","61","488","7","481","13","5","264","7","64","4","8","41","71","0","2","1","1","29.10.12"
"610332","164","Тернопільська область","сільський клуб, концертний зал
вул.Нова, 6, с.Бутин, Збаразький р-н, Тернопільська обл., 47313","468","176","469","37","255","37","292","","0","255","37","292","3","289","8","2","139","3","61","4","3","29","37","0","2","0","1","29.10.12"
"610333","164","Тернопільська область","будинок культури, концертний зал
вул.Кавказька, 13, с.Великі Вікнини, Збаразький р-н, Тернопільська обл., 47320","702","286","693","21","395","21","416","","0","395","21","416","11","405","6","4","140","16","133","1","1","35","64","2","2","0","1","29.10.12"
"610334","164","Тернопільська область","сільський клуб, концертний зал
вул.Миру, 1, с.Малі Вікнини, Збаразький р-н, Тернопільська обл., 47320","354","99","351","21","234","21","255","","0","234","21","255","1","254","5","3","108","5","89","1","1","17","24","0","0","1","0","29.10.12"
"610335","164","Тернопільська область","культурно-спортивний комплекс, фойє
вул.Сільська, 26, с.Котюжино, Збаразький р-н, Тернопільська обл., 47320","420","133","415","17","270","17","287","","0","270","17","287","8","279","3","3","125","6","71","2","0","15","49","3","1","0","1","29.10.12"
"610336","164","Тернопільська область","будинок культури, концертний зал
вул.Коцюбинського, 5В, с.Великий Кунинець, Збаразький р-н, Тернопільська обл., 47311","720","232","713","48","443","45","488","","0","443","45","488","19","469","6","2","208","8","128","6","3","34","70","1","1","1","1","29.10.12"
"610337","164","Тернопільська область","сільський клуб, концертний зал
вул.Гагаріна, 35, с.Малий Кунинець, Збаразький р-н, Тернопільська обл., 47311","168","59","162","22","97","12","109","","0","97","12","109","0","109","0","1","35","5","50","2","0","2","13","0","0","1","0","29.10.12"
"610338","164","Тернопільська область","школа, спортивний зал
вул.І.Франка, 66, с.Вищі Луб’янки, Збаразький р-н, Тернопільська обл., 47362","816","196","804","63","560","60","620","","0","560","60","620","12","608","8","2","326","70","159","3","2","23","14","1","0","0","0","29.10.12"
"610339","164","Тернопільська область","сільський клуб, концертний зал
вул.Богдана Хмельницького, 82, с.Новий Роговець, Збаразький р-н, Тернопільська обл., 47362","294","80","290","35","180","34","214","","0","180","34","214","1","213","1","0","118","5","37","0","0","12","40","0","0","0","0","29.10.12"
"610340","164","Тернопільська область","школа, фойє
вул.Грушевського, 21, смт Вишнівець, Збаразький р-н, Тернопільська обл., 47313","1800","782","1780","52","972","46","1018","","0","972","46","1018","23","995","13","4","482","19","178","4","5","127","158","1","2","1","1","29.10.12"
"610341","164","Тернопільська область","музична школа, фойє
пров.Богдана Хмельницького, 7, смт Вишнівець, Збаразький р-н, Тернопільська обл., 47313","1020","441","996","32","549","30","579","","0","549","30","579","20","559","21","4","244","31","82","9","8","64","95","1","0","0","0","29.10.12"
"610342","164","Тернопільська область","школа, актова зала
вул.Широка, школа, с.Гніздичне, Збаразький р-н, Тернопільська обл., 47332","888","292","878","88","517","79","596","","0","517","79","596","16","580","27","3","195","31","206","8","5","30","68","1","3","1","2","29.10.12"
"610343","164","Тернопільська область","школа, актова зала
вул.Івана Франка, школа, с.Хоми, Збаразький р-н, Тернопільська обл., 47332","168","35","173","23","111","22","133","","0","111","22","133","1","132","6","1","38","2","41","0","0","10","33","0","0","0","1","29.10.12"
"610344","164","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, сільський клуб, с.Чеснівський Раковець, Збаразький р-н, Тернопільська обл., 47332","204","53","197","26","128","23","151","","0","128","23","151","1","150","6","0","47","2","19","0","0","6","70","0","0","0","0","29.10.12"
"610345","164","Тернопільська область","школа, фойє
вул.Молодіжна, 4, с.Дзвиняча, Збаразький р-н, Тернопільська обл., 47312","690","327","686","50","327","36","363","","0","327","36","363","12","351","2","1","69","7","94","4","2","84","85","0","1","0","2","29.10.12"
"610346","164","Тернопільська область","сільська рада, актова зала
вул.Шкільна, 11, с.Доброводи, Збаразький р-н, Тернопільська обл., 47341","1296","391","1284","95","814","91","905","","0","814","91","905","14","891","13","1","543","39","107","1","3","111","71","1","1","0","0","29.10.12"
"610347","164","Тернопільська область","сільська рада, актова зала
вул.Лесі Українки, 42, с.Добромірка, Збаразький р-н, Тернопільська обл., 47363","378","137","372","25","216","25","241","","0","216","25","241","3","238","1","0","126","21","48","1","1","18","21","0","0","0","1","29.10.12"
"610348","164","Тернопільська область","будинок культури, танцювальний зал
вул.Шевченківська, 18, с.Залісці, Збаразький р-н, Тернопільська обл., 47310","1044","385","1028","93","571","88","659","","0","571","88","659","11","648","0","2","35","4","581","2","0","4","20","0","0","0","0","29.10.12"
"610349","164","Тернопільська область","сільський клуб, концертний зал
вул.Збаразька, 1А, с.Залужжя, Збаразький р-н, Тернопільська обл., 47306","882","235","877","38","609","38","647","","0","609","38","647","4","643","18","1","381","26","69","0","3","92","51","1","0","1","0","29.10.12"
"610350","164","Тернопільська область","сільський клуб, концертний зал
вул.Байди Вишнівецького, 50, с.Івашківці, Збаразький р-н, Тернопільська обл., 47306","174","58","169","9","107","9","116","","0","107","9","116","5","111","5","1","43","7","6","0","4","14","28","0","1","2","0","28.10.12"
"610351","164","Тернопільська область","сільський клуб, концертний зал
вул.Морозенка-бічна, 1, с.Ліски, Збаразький р-н, Тернопільська обл., 47306","282","89","284","8","185","8","193","","0","185","8","193","3","190","2","0","74","3","64","0","6","19","22","0","0","0","0","29.10.12"
"610352","164","Тернопільська область","школа, спортивний зал
вул.Шкільна, 2, с.Зарубинці, Збаразький р-н, Тернопільська обл., 47343","516","160","509","25","335","21","356","","0","335","21","356","10","346","6","0","216","11","37","0","0","45","28","1","1","0","1","29.10.12"
"610353","164","Тернопільська область","школа, спортивний зал
вул.Грушевського,4А, с.Заруддя, Збаразький р-н, Тернопільська обл., 47333","564","157","575","48","359","48","407","","0","359","48","407","8","399","11","1","170","17","82","1","22","68","25","1","0","1","0","29.10.12"
"610354","164","Тернопільська область","сільський клуб, концертний зал
вул.Тимошенка, 32А, с.Витківці, Збаразький р-н, Тернопільська обл., 47333","162","36","156","13","115","11","126","","0","115","11","126","3","123","10","0","41","2","41","5","1","16","6","1","0","0","0","29.10.12"
"610355","164","Тернопільська область","сільський клуб, концертний зал
вул.Шевченка, сільський клуб, с.Олишківці, Збаразький р-н, Тернопільська обл., 47333","408","84","403","50","276","48","324","","0","276","48","324","7","317","16","0","93","10","56","0","2","114","23","1","0","1","1","29.10.12"
"610356","164","Тернопільська область","гуртожиток професійно-технічного училища №25, актова зала
вул.Данила Галицького, 48, м.Збараж, Збаразький р-н, Тернопільська обл., 47302","846","259","843","7","580","7","587","","0","580","7","587","11","576","23","1","308","41","75","2","7","78","38","2","0","1","0","29.10.12"
"610357","164","Тернопільська область","міська рада, актова зала
вул.Богдана Хмельницького, 4, м.Збараж, Збаразький р-н, Тернопільська обл., 47302","2221","875","2200","32","1316","30","1346","","0","1316","30","1346","20","1326","48","5","781","61","184","4","8","123","110","1","0","0","1","29.10.12"
"610358","164","Тернопільська область","школа №2, фойє
вул.Чорновола, 1, м.Збараж, Збаразький р-н, Тернопільська обл., 47300","1380","558","1359","13","810","12","822","","0","810","12","822","25","797","29","4","477","28","4","115","63","4","70","1","0","1","1","29.10.12"
"610359","164","Тернопільська область","музична школа, актова зала
вул.Незалежності, 5, м.Збараж, Збаразький р-н, Тернопільська обл., 47300","2197","895","2156","14","1290","12","1302","","0","1290","12","1302","24","1278","43","4","726","59","194","5","12","135","97","2","0","1","0","29.10.12"
"610360","164","Тернопільська область","дитячий садочок №1, музичний зал
вул.Грушевського, 68, м.Збараж, Збаразький р-н, Тернопільська обл., 47300","2466","1006","2441","11","1450","10","1460","","0","1450","10","1460","22","1438","65","4","767","69","265","6","11","124","118","4","1","2","2","29.10.12"
"610361","164","Тернопільська область","школа №3, їдальня
вул.Заводська, 19, м.Збараж, Збаразький р-н, Тернопільська обл., 47300","1704","658","1680","11","1041","5","1046","","0","1041","5","1046","18","1028","82","2","544","43","163","6","2","69","110","2","1","1","3","29.10.12"
"610362","164","Тернопільська область","сільська рада, кімната урочистих подій
вул.Нова, 2, с.Іванчани, Збаразький р-н, Тернопільська обл., 47340","498","93","490","36","369","36","405","","0","369","36","405","11","394","10","1","182","19","42","0","3","86","47","2","0","0","2","29.10.12"
"610363","164","Тернопільська область","сільський клуб, фойє
вул.Центральна, 53, с.Мала Березовиця, Збаразький р-н, Тернопільська обл., 47340","174","41","170","18","117","16","133","","0","117","16","133","5","128","3","2","80","2","14","0","0","9","18","0","0","0","0","29.10.12"
"610364","164","Тернопільська область","сільський клуб, концертний зал
вул.Молодіжна, 37, с.Капустинці, Збаразький р-н, Тернопільська обл., 47350","180","42","176","10","128","10","138","","0","128","10","138","4","134","1","0","63","6","22","0","0","15","27","0","0","0","0","29.10.12"
"610365","164","Тернопільська область","сільський клуб, концертний зал
вул.Мельничина, 4, с.Мусорівці, Збаразький р-н, Тернопільська обл., 47350","228","66","223","30","133","29","162","","0","133","29","162","6","156","1","2","74","3","40","0","2","11","20","0","1","1","1","29.10.12"
"610366","164","Тернопільська область","сільський клуб, великий зал
вул.Центральна, 15, с.Киданці, Збаразький р-н, Тернопільська обл., 47374","606","126","597","43","439","41","480","","0","439","41","480","11","469","4","1","241","17","74","2","0","63","64","1","1","1","0","29.10.12"
"610367","164","Тернопільська область","школа, спортивний зал
вул.Шевченка, 2, с.Кобилля, Збаразький р-н, Тернопільська обл., 47334","600","150","588","52","401","49","450","","0","401","49","450","3","447","60","3","249","10","58","2","0","41","23","0","1","0","0","29.10.12"
"610368","164","Тернопільська область","сільська рада, концертний зал
вул.Морозенка, 1, с.Колодне, Збаразький р-н, Тернопільська обл., 47335","492","132","485","61","301","59","360","","0","301","59","360","10","350","16","0","102","14","94","3","4","20","91","1","2","1","2","29.10.12"
"610369","164","Тернопільська область","сільська рада, зал засідань
вул.Морозенка, 1, с.Колодне, Збаразький р-н, Тернопільська обл., 47335","456","173","449","55","241","42","283","","0","241","42","283","4","279","17","0","94","13","64","4","5","25","54","2","1","0","0","29.10.12"
"610370","164","Тернопільська область","сільський клуб, концертний зал
вул.Молодіжна, сільський клуб, с.Болязуби, Збаразький р-н, Тернопільська обл., 47381","420","118","409","41","265","37","302","","0","265","37","302","9","293","33","4","109","19","60","3","2","26","34","1","1","0","1","29.10.12"
"610371","164","Тернопільська область","школа, спортивний зал
вул.Гагаріна, школа, с.Коханівка, Збаразький р-н, Тернопільська обл., 47331","216","77","210","16","126","13","139","","0","126","13","139","2","137","4","1","50","5","56","0","0","5","14","0","1","1","0","29.10.12"
"610372","164","Тернопільська область","сільський клуб, концертний зал
вул.Березова, сільський клуб, с.Гнидава, Збаразький р-н, Тернопільська обл., 47331","258","87","253","17","154","17","171","","0","154","17","171","7","164","3","0","64","7","53","2","1","17","16","0","0","1","0","29.10.12"
"610373","164","Тернопільська область","фельдшерсько-акушерський пункт, фойє
вул.Шевченка, фельдшерсько-акушерський пункт, с.Діброва, Збаразький р-н, Тернопільська обл., 47331","180","60","173","17","104","16","120","","0","104","16","120","2","118","3","0","37","4","1","32","1","6","33","1","0","0","0","28.10.12"
"610374","164","Тернопільська область","школа, спортивний зал
вул.Шкільна, 6, с.Красносільці, Збаразький р-н, Тернопільська обл., 47351","318","76","313","15","227","15","242","","0","227","15","242","8","234","2","1","129","8","28","0","2","43","16","1","1","0","3","29.10.12"
"610375","164","Тернопільська область","будинок культури, концертний зал
вул.Стефаника, 59, с.Розношинці, Збаразький р-н, Тернопільська обл., 47353","258","62","259","17","179","17","196","","0","179","17","196","3","193","1","1","100","8","18","1","3","23","35","2","0","0","1","29.10.12"
"610376","164","Тернопільська область","школа, актова зала
вул.Дружби, школа, с.Кретівці, Збаразький р-н, Тернопільська обл., 47382","456","104","449","46","309","43","352","","0","309","43","352","7","345","8","0","230","6","29","2","1","33","35","0","0","1","0","29.10.12"
"610377","164","Тернопільська область","сільський клуб, концертний зал
вул.Гагаріна, 32А, с.Лози, Збаразький р-н, Тернопільська обл., 47321","456","128","450","30","299","29","328","","0","299","29","328","7","321","1","0","141","3","42","1","1","60","69","0","2","1","0","29.10.12"
"610378","164","Тернопільська область","будинок культури, концертний зал
вул.Шкільна, будинок культури, с.Кривчики, Збаразький р-н, Тернопільська обл., 47321","540","156","538","51","338","46","384","","0","338","46","384","10","374","8","0","125","10","95","3","3","39","82","1","5","0","3","29.10.12"
"610379","164","Тернопільська область","сільська рада, кабінет голови
вул.Сонячна, 34, с.Максимівка, Збаразький р-н, Тернопільська обл., 47372","684","182","676","74","430","72","502","","0","430","72","502","9","493","6","2","285","11","91","4","1","27","61","2","0","0","3","29.10.12"
"610380","164","Тернопільська область","сільскьий клуб, концертний зал
вул.Романтична, 1, с.Гори-Стрийовецькі, Збаразький р-н, Тернопільська обл., 47372","144","47","144","19","80","17","97","","0","80","17","97","0","97","1","0","55","5","10","1","0","6","17","1","1","0","0","29.10.12"
"610381","164","Тернопільська область","сільський клуб, концертний зал
вул.Шкільна, 12, с.Чагарі-Збаразькі, Збаразький р-н, Тернопільська обл., 47372","228","47","229","40","141","40","181","","0","141","40","181","1","180","0","0","125","1","24","0","1","11","16","1","0","0","1","29.10.12"
"610382","164","Тернопільська область","сільська рада, зал засідань
вул.Богдана Хмельницького, 70, с.Нижчі Луб’янки, Збаразький р-н, Тернопільська обл., 47361","1074","367","1059","68","640","67","707","","0","640","67","707","10","697","22","3","364","76","152","5","4","37","27","3","0","2","2","29.10.12"
"610383","164","Тернопільська область","сільський клуб, концертний зал
вул.Нова, 14, с.Новики, Збаразький р-н, Тернопільська обл., 47342","300","58","296","19","224","18","242","","0","224","18","242","2","240","1","1","141","16","30","1","3","18","28","0","1","0","0","29.10.12"
"610384","164","Тернопільська область","сільський клуб, концертний зал
вул.Шевченка, 52, с.Опрілівці, Збаразький р-н, Тернопільська обл., 47342","504","152","497","49","303","49","352","","0","303","49","352","4","348","3","1","203","18","35","2","2","36","45","1","1","0","1","29.10.12"
"610385","164","Тернопільська область","сільський клуб, концертний зал
вул.Чорновола, 29, с.Охримівці, Збаразький р-н, Тернопільська обл., 47370","192","60","184","26","109","23","132","","0","109","23","132","7","125","4","2","37","19","12","2","3","9","36","1","0","0","0","29.10.12"
"610386","164","Тернопільська область","будинок культури, фойє
вул.Грушевського, 55А, с.Великий Раковець, Збаразький р-н, Тернопільська обл., 47330","450","153","446","15","285","12","297","","0","285","12","297","9","288","19","3","131","11","38","2","1","36","47","0","0","0","0","29.10.12"
"610387","164","Тернопільська область","бібліотека, читальний зал
вул.Богдана Хмельницького, бібліотека, с.Малий Раковець, Збаразький р-н, Тернопільська обл., 47330","150","34","146","16","100","16","116","","0","100","16","116","1","115","3","1","51","1","16","0","0","22","21","0","0","0","0","29.10.12"
"610388","164","Тернопільська область","будинок культури, концертний зал
вул.Тернопільська, 4, с.Романове Село, Збаразький р-н, Тернопільська обл., 47375","690","212","684","48","435","43","478","","0","435","43","478","13","465","5","3","198","72","55","1","1","46","72","3","0","7","2","28.10.12"
"610389","164","Тернопільська область","сільський клуб, концертний зал
вул.Джули, 3, с.Синява, Збаразький р-н, Тернопільська обл., 47352","552","126","546","51","382","44","426","","0","382","44","426","8","418","4","2","293","15","62","1","2","20","16","1","1","0","1","29.10.12"
"610390","164","Тернопільська область","сільський клуб, концертний зал
вул.Лесі Українки, 43, с.Синягівка, Збаразький р-н, Тернопільська обл., 47352","216","48","218","28","141","27","168","","0","141","27","168","1","167","4","0","92","9","12","0","3","26","21","0","0","0","0","29.10.12"
"610391","164","Тернопільська область","сільський клуб, концертний зал
вул.Шлях, 37, с.Старий Вишнівець, Збаразький р-н, Тернопільська обл., 47322","936","393","930","26","518","25","543","","0","518","25","543","20","523","10","4","274","16","66","7","2","76","64","1","1","0","2","29.10.12"
"610392","164","Тернопільська область","сільський клуб, концертний зал
вул.Центральна, 5, с.Кинахівці, Збаразький р-н, Тернопільська обл., 47322","594","245","589","37","312","37","349","","0","312","37","349","12","337","7","2","176","8","83","1","3","32","24","0","1","0","0","29.10.12"
"610393","164","Тернопільська область","сільський клуб, концертний зал
вул.Січових Стрільців, сільський клуб, с.Федьківці, Збаразький р-н, Тернопільська обл., 47322","384","125","377","25","236","23","259","","0","236","23","259","4","255","3","0","125","7","47","3","3","21","44","0","0","1","1","29.10.12"
"610394","164","Тернопільська область","пожежна частина, актова зала
вул.Збаразька, 3А, с.Кухаруки, Збаразький р-н, Тернопільська обл., 47322","234","80","232","9","145","9","154","","0","145","9","154","3","151","5","1","65","0","27","3","0","21","25","1","3","0","0","29.10.12"
"610395","164","Тернопільська область","школа-сад, актова зала
вул.Старозбаразька, школа-сад, с.Старий Збараж, Збаразький р-н, Тернопільська обл., 47386","588","147","585","65","376","65","441","","0","376","65","441","12","429","12","1","225","19","90","4","8","40","29","0","0","0","1","28.10.12"
"610396","164","Тернопільська область","школа, актова зала
вул.Грушевського, 7, с.Стриївка, Збаразький р-н, Тернопільська обл., 47371","786","166","785","51","572","48","620","","0","572","48","620","7","613","20","4","411","15","43","2","8","43","64","1","2","0","0","29.10.12"
"610397","164","Тернопільська область","школа, фойє
вул.Івана Франка, 1А, с.Травневе, Збаразький р-н, Тернопільська обл., 47371","366","68","362","25","275","23","298","","0","275","23","298","5","293","5","3","180","10","57","2","3","6","26","0","0","0","1","29.10.12"
"610398","164","Тернопільська область","школа, спортивний зал
вул.Шкільна, школа, с.Чернихівці, Збаразький р-н, Тернопільська обл., 47370","1092","286","1086","75","735","71","806","","0","735","71","806","22","784","18","4","456","55","97","1","6","55","83","5","0","1","3","29.10.12"
"610399","164","Тернопільська область","сільський клуб, концертний зал
вул.Шевченка, 79, с.Шили, Збаразький р-н, Тернопільська обл., 47360","384","111","377","39","236","37","273","","0","236","37","273","3","270","4","0","57","158","33","1","0","7","8","1","0","0","1","29.10.12"
"610400","164","Тернопільська область","школа, кл.1
вул.Сидіра Ковпака, 15, с.Діброва, Збаразький р-н, Тернопільська обл., 47360","96","31","99","7","60","5","65","","0","60","5","65","2","63","1","0","20","19","6","0","0","4","12","0","0","0","1","29.10.12"
"610401","164","Тернопільська область","школа, фойє
вул.Шкільна, школа, с.Шимківці, Збаразький р-н, Тернопільська обл., 47336","492","166","488","34","294","32","326","","0","294","32","326","14","312","8","0","105","11","93","3","1","20","70","1","0","0","0","29.10.12"
"610402","164","Тернопільська область","школа, фойє
вул.Івана Франка, школа, с.Решнівка, Збаразький р-н, Тернопільська обл., 47336","300","65","300","37","199","36","235","","0","199","36","235","4","231","4","1","87","6","59","0","4","20","48","0","1","0","1","29.10.12"
"610403","164","Тернопільська область","ВК-63, виробнича зона приміщення підготовчого цеху
вул.Молодіжна, 9, с.Доброводи, Збаразький р-н, Тернопільська обл., 47341","624","27","597","0","597","0","597","","0","597","0","597","15","582","1","0","2","0","574","1","0","2","0","0","0","1","1","29.10.12"
