"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Апостол
Михайло
Володимирович","Давиденко
Андрій
Анатолійович","Люшняк
Микола
Володимирович","Півторак
Роман
Євстахійович","Савчук
Михайло
Дмитрович","Стецюк
Тетяна
Іванівна","Хоптян
Надія
Андріївна","Дата підписання протоколу"
"610701","166","Тернопільська область","школа, актова зала
вул.Нагірянка, 44, с.Велеснів, Монастириський р-н, Тернопільська обл., 48351","504","189","500","25","292","23","315","","0","292","23","315","10","305","164","62","49","0","3","4","23","29.10.12"
"610702","166","Тернопільська область","школа, актова зала
вул.Л.Українки, 36, с.Залісся, Монастириський р-н, Тернопільська обл., 48312","200","64","195","15","122","14","136","","0","122","14","136","10","126","57","29","29","1","1","3","6","29.10.12"
"610703","166","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 89, с.Криниця, Монастириський р-н, Тернопільська обл., 48381","488","162","485","26","304","22","326","","0","304","22","326","8","318","192","42","68","0","1","3","12","29.10.12"
"610704","166","Тернопільська область","школа, спортивний зал
вул.Центральна, 8А, с.Заставці, Монастириський р-н, Тернопільська обл., 48314","264","76","263","27","164","24","188","","0","164","24","188","4","184","86","59","27","1","3","0","8","29.10.12"
"610705","166","Тернопільська область","будинок культури, глядацький зал
вул.Шевченка, 15, с.Гранітне, Монастириський р-н, Тернопільська обл., 48331","264","86","264","12","166","12","178","","0","166","12","178","3","175","89","29","29","1","1","4","22","29.10.12"
"610706","166","Тернопільська область","школа, спортивний зал
вул.Чорновола, 28А, с.Високе, Монастириський р-н, Тернопільська обл., 48312","912","232","904","46","635","45","680","","0","635","45","680","5","675","303","53","262","4","25","6","22","28.10.12"
"610707","166","Тернопільська область","сільська рада, зал засідань
вул.Шевченка, 41, с.Садове, Монастириський р-н, Тернопільська обл., 48361","176","69","177","18","94","13","107","","0","94","13","107","1","106","64","22","11","0","0","2","7","29.10.12"
"610708","166","Тернопільська область","школа, спортивний зал
вул.Підлісна, 19, с.Яргорів, Монастириський р-н, Тернопільська обл., 48330","456","185","453","16","256","15","271","","0","256","15","271","18","253","109","44","74","3","0","1","22","28.10.12"
"610709","166","Тернопільська область","школа, спортивний зал
вул.Шевченка, 31А, с.Устя-Зелене, Монастириський р-н, Тернопільська обл., 48341","408","107","408","56","250","51","301","","0","250","51","301","8","293","156","83","29","2","2","5","16","28.10.12"
"610710","166","Тернопільська область","сільський будинок культури, глядацький зал
вул.Шевченка, 13, с.Лука, Монастириський р-н, Тернопільська обл., 48341","224","46","215","20","159","19","178","","0","159","19","178","7","171","98","10","41","1","1","0","20","29.10.12"
"610711","166","Тернопільська область","сільський будинок культури, глядацький зал
вул.Шевченка, 27А, с.Межигір’я, Монастириський р-н, Тернопільська обл., 48341","200","29","198","28","145","26","171","","0","145","26","171","4","167","99","42","14","1","0","3","8","29.10.12"
"610712","166","Тернопільська область","школа, спортивний зал
вул.Галицька, 36А, с.Підлісне, Монастириський р-н, Тернопільська обл., 48310","280","125","276","21","135","20","155","","0","135","20","155","7","148","39","50","11","1","3","1","43","30.10.12"
"610713","166","Тернопільська область","дитячий садок, ігрова кімната
вул.Шевченка, 58, с.Бертники, Монастириський р-н, Тернопільська обл., 48324","328","109","317","13","206","13","219","","0","206","13","219","7","212","134","29","23","1","12","2","11","29.10.12"
"610714","166","Тернопільська область","сільська рада, зал засідань
вул.Шкільна, 2А, с.Швейків, Монастириський р-н, Тернопільська обл., 48314","536","148","529","50","340","48","388","","0","340","48","388","11","377","236","74","40","1","5","3","18","29.10.12"
"610715","166","Тернопільська область","сільська рада, зал засідань
вул.Першотравнева, 10, с.Горожанка, Монастириський р-н, Тернопільська обл., 48311","680","224","674","59","403","53","456","","0","403","53","456","21","435","185","137","77","1","7","4","24","29.10.12"
"610716","166","Тернопільська область","терапевтичне відділення РТМО, фойє
вул.Краснікова, 7, м.Монастириська, Тернопільська обл., 48300","40","9","38","0","31","0","31","","0","31","0","31","4","27","7","3","4","0","1","0","12","29.10.12"
"610814","166","Тернопільська область","сільський клуб, глядацький зал
вул.М.Грушевського, 1, с.Багатківці, Теребовлянський р-н, Тернопільська обл., 48110","456","113","440","63","280","63","343","","0","280","63","343","5","338","51","117","59","11","10","1","89","29.10.12"
"610815","166","Тернопільська область","сільський клуб, глядацький зал
вул.Т.Г.Шевченка, 21, с.Бенева, Теребовлянський р-н, Тернопільська обл., 48111","248","59","246","23","168","21","189","","0","168","21","189","4","185","62","44","27","2","0","1","49","29.10.12"
"610816","166","Тернопільська область","будинок культури, глядацький зал
вул.Міцкевича, 10, с.Буданів, Теребовлянський р-н, Тернопільська обл., 48154","1208","358","1185","115","736","114","850","","0","736","114","850","18","832","385","246","129","4","6","4","58","29.10.12"
"610817","166","Тернопільська область","сільський клуб, глядацький зал
вул.Ровиська, 53А, с.Папірня, Теребовлянський р-н, Тернопільська обл., 48150","184","52","184","20","112","20","132","","0","112","20","132","6","126","45","28","35","1","0","1","16","29.10.12"
"610818","166","Тернопільська область","будинок культури, глядацький зал
вул.Шкільна, 23, с.Бурканів, Теребовлянський р-н, Тернопільська обл., 48116","608","139","598","42","427","42","469","","0","427","42","469","13","456","143","38","164","9","3","3","96","29.10.12"
"610819","166","Тернопільська область","будинок культури, фойє
вул.Є.Олесницького, 28, с.Великий Говилів, Теребовлянський р-н, Тернопільська обл., 48162","856","221","847","27","608","27","635","","0","608","27","635","11","624","302","179","77","3","15","1","47","30.10.12"
"610820","166","Тернопільська область","сільський клуб, глядацький зал
вул.С.Бандери, 1, с.Малий Говилів, Теребовлянський р-н, Тернопільська обл., 48162","328","85","320","18","225","18","243","","0","225","18","243","7","236","109","89","17","1","4","1","15","29.10.12"
"610821","166","Тернопільська область","будинок культури, глядацький зал
вул.Кульчики, 17, с.Вербівці, Теребовлянський р-н, Тернопільська обл., 48155","608","147","593","66","399","62","461","","0","399","62","461","10","451","109","198","44","3","2","2","93","29.10.12"
"610822","166","Тернопільська область","сільська рада, зал засідань
вул.Й.Сліпого, 77, с.Вишнівчик, Теребовлянський р-н, Тернопільська обл., 48142","472","129","465","40","304","39","343","","0","304","39","343","15","328","84","104","99","4","2","4","31","29.10.12"
"610823","166","Тернопільська область","будинок культури, глядацький зал
вул.Шевченка, 17, с.Гайворонка, Теребовлянський р-н, Тернопільська обл., 48140","344","73","335","42","229","42","271","","0","229","42","271","9","262","99","66","65","6","0","0","26","29.10.12"
"610824","166","Тернопільська область","будинок культури, фойє
вул.Центральна, 39, с.Гвардійське, Теребовлянський р-н, Тернопільська обл., 48141","304","73","299","23","208","23","231","","0","208","23","231","2","229","41","81","78","2","1","0","26","29.10.12"
"610825","166","Тернопільська область","сільська рада, зал засідань
вул.Кінець, 72, с.Глещава, Теребовлянський р-н, Тернопільська обл., 48136","568","148","563","46","376","44","420","","0","376","44","420","13","407","164","143","67","0","4","2","27","29.10.12"
"610826","166","Тернопільська область","будинок культури, глядацький зал
вул.Сонячна, 1А, с.Дарахів, Теребовлянський р-н, Тернопільська обл., 48146","1576","529","1554","121","934","113","1047","","0","934","113","1047","35","1012","381","201","346","10","9","1","64","29.10.12"
"610827","166","Тернопільська область","сільський клуб, глядацький зал
вул.С.Бандери, 91, с.Тютьків, Теребовлянський р-н, Тернопільська обл., 48147","376","120","379","40","216","40","256","","0","216","40","256","5","251","62","38","113","3","0","3","32","29.10.12"
"610828","166","Тернопільська область","сільський клуб, глядацький зал
вул.Слобідська, 28, с.Кам’янка, Теребовлянський р-н, Тернопільська обл., 48146","136","31","136","7","99","6","105","","0","99","6","105","5","100","22","21","32","0","0","1","24","30.10.12"
"610829","166","Тернопільська область","сільська рада, зал засідань
вул.М.Грушевського, 37, с.Дворіччя, Теребовлянський р-н, Тернопільська обл., 48123","440","99","431","35","306","35","341","","0","306","35","341","17","324","59","197","39","2","1","4","22","28.10.12"
"610830","166","Тернопільська область","будинок культури, глядацький зал
вул.Осіння, 3А, с.Довге, Теребовлянський р-н, Тернопільська обл., 48160","520","117","517","24","381","22","403","","0","381","22","403","14","389","99","105","147","1","4","5","28","29.10.12"
"610831","166","Тернопільська область","сільський клуб, великий зал
вул.Купчинського, 114А, с.Деренівка, Теребовлянський р-н, Тернопільська обл., 48173","384","88","371","42","254","42","296","","0","254","42","296","7","289","127","74","61","1","5","3","18","29.10.12"
"610832","166","Тернопільська область","сільський клуб, глядацький зал
вул.Янівська, 11А, с.Долина, Теребовлянський р-н, Тернопільська обл., 48163","672","184","667","45","443","45","488","","0","443","45","488","16","472","111","121","194","3","10","1","32","29.10.12"
"610833","166","Тернопільська область","сільський клуб, глядацький зал
вул.Дисевича, 21А, с.Слобідка, Теребовлянський р-н, Тернопільська обл., 48163","320","60","315","30","231","29","260","","0","231","29","260","2","258","111","36","86","1","3","1","20","29.10.12"
"610834","166","Тернопільська область","будинок культури, глядацький зал
вул.Й.Сліпого, 99, с.Заздрість, Теребовлянський р-н, Тернопільська обл., 48125","616","225","616","36","355","36","391","","0","355","36","391","12","379","218","81","42","2","3","7","26","29.10.12"
"610835","166","Тернопільська область","сільський клуб, глядацький зал
вул.Кардинала Шептицького, 33, с.Зарваниця, Теребовлянський р-н, Тернопільська обл., 48143","224","50","221","20","155","19","174","","0","155","19","174","6","168","42","75","42","0","1","0","8","28.10.12"
"610836","166","Тернопільська область","сільський клуб, глядацький зал
вул.Ореста Гальчука, 4, с.Сапова, Теребовлянський р-н, Тернопільська обл., 48143","112","26","104","15","72","14","86","","0","72","14","86","1","85","13","56","13","0","0","0","3","28.10.12"
"610837","166","Тернопільська область","сільська рада, зал засідань
вул.Містечко, 33, с.Золотники, Теребовлянський р-н, Тернопільська обл., 48115","1336","458","1326","107","780","98","878","","0","780","98","878","36","842","277","168","329","20","6","3","39","29.10.12"
"610838","166","Тернопільська область","будинок культури, глядацький зал
вул.Ринок, 16, с.Іванівка, Теребовлянський р-н, Тернопільська обл., 48137","1184","224","1167","62","899","61","960","","0","899","61","960","32","928","503","226","75","0","10","4","110","29.10.12"
"610839","166","Тернопільська область","сільський клуб, глядацький зал
вул.Набережна, 2, с.Лозівка, Теребовлянський р-н, Тернопільська обл., 48137","96","35","92","12","49","12","61","","0","49","12","61","3","58","19","14","8","1","2","0","14","29.10.12"
"610840","166","Тернопільська область","сільська рада, зал засідань
вул.Т.Г.Шевченка, 66, с.Ілавче, Теребовлянський р-н, Тернопільська обл., 48134","1120","340","1102","116","674","106","780","","0","674","106","780","23","757","212","283","146","8","11","5","92","29.10.12"
"610841","166","Тернопільська область","будинок культури, глядацький зал
вул.Центральна, 168, с.Кобиловолоки, Теребовлянський р-н, Тернопільська обл., 48164","1144","297","1139","118","729","118","847","","0","729","118","847","27","820","234","259","248","3","11","3","62","29.10.12"
"610842","166","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 201, с.Млиниська, Теребовлянський р-н, Тернопільська обл., 48164","328","39","327","24","266","23","289","","0","266","23","289","7","282","144","50","63","2","3","1","19","29.10.12"
"610843","166","Тернопільська область","школа, кабінет української мови та літератури
вул.Шевченка, 30, с.Котузів, Теребовлянський р-н, Тернопільська обл., 48141","304","91","300","32","184","29","213","","0","184","29","213","10","203","35","96","53","2","1","0","16","29.10.12"
"610844","166","Тернопільська область","сільський клуб, глядацький зал
вул.Лошнівська, 1А, с.Кровинка, Теребовлянський р-н, Тернопільська обл., 48135","1072","327","1058","43","702","43","745","","0","702","43","745","19","726","166","194","239","1","18","3","105","29.10.12"
"610845","166","Тернопільська область","сільська рада, зал засідань
вул.Т.Шевченка, 4, с.Ладичин, Теребовлянський р-н, Тернопільська обл., 48124","904","288","896","73","546","70","616","","0","546","70","616","12","604","212","111","246","0","11","0","24","29.10.12"
"610846","166","Тернопільська область","будинок культури, глядацький зал
вул.Центральна, 104, с.Ласківці, Теребовлянський р-н, Тернопільська обл., 48153","1368","420","1355","123","829","119","948","","0","829","119","948","30","918","437","333","51","3","4","4","86","29.10.12"
"610847","166","Тернопільська область","школа, фойє
вул.Центральна, 44, с.Лошнів, Теребовлянський р-н, Тернопільська обл., 48133","1040","94","1029","91","855","91","946","","0","855","91","946","7","939","357","228","265","0","3","6","80","29.10.12"
"610848","166","Тернопільська область","будинок культури, великий зал
вул.Шкільна, 34, с.Маловоди, Теребовлянський р-н, Тернопільська обл., 48140","184","39","181","31","117","28","145","","0","117","28","145","8","137","12","66","29","1","0","1","28","28.10.12"
"610849","166","Тернопільська область","сільська рада, зал засідань
вул.Центральна, 14, с.Нова Могильниця, Теребовлянський р-н, Тернопільська обл., 48179","464","138","455","74","252","74","326","","0","252","74","326","10","316","83","105","110","3","2","2","11","29.10.12"
"610850","166","Тернопільська область","будинок культури, глядацький зал
вул.Центральна, 15, с.Стара Могильниця, Теребовлянський р-н, Тернопільська обл., 48179","376","121","370","61","196","59","255","","0","196","59","255","10","245","117","37","70","0","4","0","17","29.10.12"
