"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Власюк
Віктор
Васильович","Гнатюк
Юрій
Петрович","Жеребнюк
Віктор
Миколайович","Загороднюк
Юрій
Вікторович","Закусилова
Лідія
Олексіївна","Зелена
Катерина
Вітославівна","Козловський
Юрій
Борисович","Кривак
Іван
Васильович","Мельничук
Іван
Іванович","Онопенко
Василь
Васильович","Погодін
Олексій
Олександрович","Дата підписання протоколу"
"050619","14","Вінницька область","школа, фойє
вул.Щорса, 12А, с.Вінниківці, Літинський р-н, Вінницька обл., 22351","186","48","186","23","116","22","138","","0","116","22","138","2","136","1","1","45","0","3","3","0","0","45","37","1","29.10.12"
"050620","14","Вінницька область","бригадний будинок, к.2
вул.Садова, 32, с.Соколівка, Літинський р-н, Вінницька обл., 22351","78","22","75","12","46","10","56","","0","46","10","56","1","55","1","3","27","0","3","1","0","0","16","4","0","29.10.12"
"050621","14","Вінницька область","школа, зал
вул.Центральна, 2А, с.Громадське, Літинський р-н, Вінницька обл., 22343","342","86","346","14","242","14","256","","0","242","14","256","2","254","5","3","53","0","13","6","0","0","133","40","1","29.10.12"
"050622","14","Вінницька область","сільський клуб, зал
вул.Щорса, 3, с.Кусиківці, Літинський р-н, Вінницька обл., 22343","282","88","283","32","162","32","194","","0","162","32","194","3","191","1","8","45","2","10","5","1","0","101","18","0","29.10.12"
"050623","14","Вінницька область","школа, фойє
вул.Леніна, 122, с.Дашківці, Літинський р-н, Вінницька обл., 22363","864","364","859","28","473","27","500","","0","473","27","500","12","488","6","14","50","3","13","22","4","0","196","176","4","29.10.12"
"050624","14","Вінницька область","школа, к.1
вул.Леніна, 122, с.Дашківці, Літинський р-н, Вінницька обл., 22363","792","325","781","43","425","42","467","","0","0","0","467","20","447","9","20","103","1","20","19","0","2","160","112","1","31.10.12"
"050625","14","Вінницька область","сільський клуб, зал
вул.Леніна, 3, с.Іскриня, Літинський р-н, Вінницька обл., 22363","156","32","148","9","115","9","124","","0","115","9","124","4","120","1","11","25","2","17","5","3","0","36","20","0","07.11.12"
"050626","14","Вінницька область","сільський клуб, фойє
вул.Леніна, 45, с.Лукашівка, Літинський р-н, Вінницька обл., 22363","540","183","531","29","328","29","357","","0","328","29","357","4","353","9","17","68","3","18","35","0","1","107","94","1","29.10.12"
"050627","14","Вінницька область","школа, спортзал
вул.Центральна, 1, с.Дяківці, Літинський р-н, Вінницька обл., 22341","930","347","935","81","511","72","583","","0","511","72","583","22","561","5","16","65","1","68","22","2","2","211","168","1","29.10.12"
"050628","14","Вінницька область","фельдшерський пункт, к.2
вул.Б.Хмельницького, 2, с.Гавришівка, Літинський р-н, Вінницька обл., 22341","78","21","75","11","47","10","57","","0","47","10","57","1","56","1","1","12","0","3","0","1","0","19","18","1","28.10.12"
"050629","14","Вінницька область","будинок культури, зал
вул.Леніна, 32, с.Журавне, Літинський р-н, Вінницька обл., 22325","918","295","906","68","558","65","623","","0","558","65","623","13","610","6","14","171","8","33","34","7","4","260","66","7","30.10.12"
"050630","14","Вінницька область","школа, к.2
вул.Шкільна, 1, с.Олександрівка, Літинський р-н, Вінницька обл., 22325","300","61","294","49","193","46","239","","0","193","46","239","4","235","5","1","47","0","35","8","2","0","99","36","2","29.10.12"
"050631","14","Вінницька область","будинок культури, зал
вул.Революційна, будинок культури, с.Івча, Літинський р-н, Вінницька обл., 22332","810","256","795","86","478","76","554","","0","478","76","554","20","534","6","17","178","8","92","20","2","3","150","57","1","29.10.12"
"050632","14","Вінницька область","школа, фойє
вул.Пролетарська, 13, с.Трибухи, Літинський р-н, Вінницька обл., 22332","306","90","310","29","187","29","216","","0","187","29","216","7","209","0","21","86","2","15","11","0","0","58","15","1","31.10.12"
"050633","14","Вінницька область","будинок культури, фойє
вул.Шляхова, 25, с.Кожухів, Літинський р-н, Вінницька обл., 22323","882","317","875","51","516","49","565","","0","516","49","565","20","545","2","137","76","7","29","14","1","3","122","154","0","29.10.12"
"050634","14","Вінницька область","фельдшерсько-акушерський пункт, к.1
вул.Жовтнева, 30, с-ще Красносілка, Літинський р-н, Вінницька обл., 22323","114","52","106","17","49","13","62","","0","49","13","62","4","58","0","27","6","0","3","1","0","0","15","6","0","29.10.12"
"050635","14","Вінницька область","сільський клуб, зал
вул.Леніна, 81, с.Кулига, Літинський р-н, Вінницька обл., 22346","300","72","294","29","201","27","228","","0","201","27","228","5","223","0","5","66","2","21","2","1","2","107","17","0","29.10.12"
"050636","14","Вінницька область","фельдшерсько-акушерський пункт, к.1
вул.Леніна, 1Б, с.Українка, Літинський р-н, Вінницька обл., 22346","126","33","124","20","77","16","93","","0","77","16","93","3","90","1","0","37","1","13","4","0","0","26","8","0","29.10.12"
"050637","14","Вінницька область","сільський клуб, зал
вул.Жовтнева, 20, с.Літинка, Літинський р-н, Вінницька обл., 22342","552","125","543","47","380","47","427","","0","380","47","427","5","422","2","11","111","1","13","7","1","2","237","31","6","29.10.12"
"050638","14","Вінницька область","фельдшерсько-акушерський пункт, к.2
вул.Шевченка, 15, с.Яблунівка, Літинський р-н, Вінницька обл., 22342","84","18","83","16","51","15","66","","0","51","15","66","1","65","0","0","34","0","0","0","0","0","12","19","0","29.10.12"
"050639","14","Вінницька область","школа, зал
вул.Коцюбинського, 8А, с.Малинівка, Літинський р-н, Вінницька обл., 22360","516","210","504","32","277","29","306","","0","277","29","306","5","301","4","6","120","0","22","7","1","1","109","31","0","29.10.12"
"050640","14","Вінницька область","школа, зал
вул.50-річчя Жовтня, 2, с.Балин, Літинський р-н, Вінницька обл., 22361","402","129","389","29","244","29","273","","0","244","29","273","9","264","0","5","92","5","10","5","2","0","46","95","4","29.10.12"
"050641","14","Вінницька область","сільський клуб, зал
вул.Садова, 1, с.Вишенька, Літинський р-н, Вінницька обл., 22361","120","25","118","11","84","11","95","","0","84","11","95","0","95","1","3","37","0","2","1","1","0","26","23","1","29.10.12"
"050642","14","Вінницька область","школа, к.2
вул.Дзержинського, 14А, с.Петрик, Літинський р-н, Вінницька обл., 22361","612","220","602","11","384","8","392","","0","384","8","392","4","388","4","20","111","3","37","21","2","0","148","40","2","29.10.12"
"050643","14","Вінницька область","сільський клуб, зал
вул.Леніна, 21, с.Микулинці, Літинський р-н, Вінницька обл., 22353","504","141","493","40","324","39","363","","0","324","39","363","11","352","4","3","149","3","20","12","0","0","125","35","1","29.10.12"
"050644","14","Вінницька область","сільський клуб, зал
вул.Першотравнева, 28, с.Ріжок, Літинський р-н, Вінницька обл., 22353","228","42","224","25","161","25","186","","0","161","25","186","8","178","0","2","93","0","5","5","0","0","49","24","0","29.10.12"
"050645","14","Вінницька область","сільський клуб, зал
вул.Кірова, 1, с.Осолинка, Літинський р-н, Вінницька обл., 22330","324","58","321","42","226","40","266","","0","226","40","266","8","258","1","8","73","0","45","7","2","0","101","21","0","29.10.12"
"050646","14","Вінницька область","школа, коридор
вул.Островського, 63, с.Кам’янка, Літинський р-н, Вінницька обл., 22330","102","38","97","10","54","10","64","","0","54","10","64","5","59","1","2","24","2","3","1","0","1","20","4","1","29.10.12"
"050647","14","Вінницька область","сільський клуб, фойє
вул.Б.Хмельницького, 15, с.Миколаївка, Літинський р-н, Вінницька обл., 22330","306","86","302","30","195","25","220","","0","195","25","220","4","216","1","2","86","0","22","7","0","0","71","26","1","29.10.12"
"050648","14","Вінницька область","школа, фойє
вул.Жовтнева, 110, с.Пеньківка, Літинський р-н, Вінницька обл., 22336","810","257","798","94","462","91","553","","0","462","91","553","15","538","4","20","77","7","23","22","3","3","288","89","2","29.10.12"
"050649","14","Вінницька область","школа, к.2
вул.Купрійчука, 35, с.Бруслинівка, Літинський р-н, Вінницька обл., 22336","252","64","248","6","182","6","188","","0","182","6","188","4","184","2","4","31","1","7","3","0","0","93","43","0","29.10.12"
"050650","14","Вінницька область","школа, к.2
вул.Лісна, 121А, с.Підлісне, Літинський р-н, Вінницька обл., 22336","420","98","414","33","291","31","322","","0","291","31","322","2","320","6","6","130","4","2","9","0","1","119","41","2","28.10.12"
"050651","14","Вінницька область","сільський клуб, зал
вул.Центральна, 77, с.Супрунів, Літинський р-н, Вінницька обл., 22336","210","65","208","13","132","13","145","","0","132","13","145","2","143","0","5","15","0","5","7","0","0","86","25","0","29.10.12"
"050652","14","Вінницька область","сільська рада, к.2
вул.Леніна, 62/1, с.Селище, Літинський р-н, Вінницька обл., 22307","1332","522","1317","49","766","44","810","","0","766","44","810","16","794","0","19","164","2","61","14","0","1","417","114","2","29.10.12"
"050653","14","Вінницька область","фельдшерсько-акушерський пункт, к.2
вул.Чапаєва, 3, с.Садове, Літинський р-н, Вінницька обл., 22308","612","253","596","71","291","68","359","","0","291","68","359","9","350","1","13","70","2","17","7","4","5","176","50","5","29.10.12"
"050654","14","Вінницька область","сільський клуб, актовий зал
вул.Центральна, 1А, с.Сосни, Літинський р-н, Вінницька обл., 22344","732","258","718","27","449","25","474","","0","449","25","474","18","456","3","10","145","1","25","8","2","4","210","47","1","29.10.12"
"050655","14","Вінницька область","школа, фойє
вул.Леніна, 80, с.Городище, Літинський р-н, Вінницька обл., 22344","858","292","802","36","533","33","566","","0","533","33","566","6","560","1","8","146","1","36","7","1","0","248","107","5","29.10.12"
"050656","14","Вінницька область","сільський клуб, зал
вул.Молодіжна, 9, с.Радянське, Літинський р-н, Вінницька обл., 22344","372","141","368","6","225","6","231","","0","225","6","231","2","229","5","8","58","0","10","11","2","1","98","36","0","29.10.12"
"050657","14","Вінницька область","школа, фойє
вул.Першотравнева, 13, с.Теси, Літинський р-н, Вінницька обл., 22311","240","60","239","32","149","31","180","","0","149","31","180","4","176","1","1","57","2","6","4","0","0","54","49","2","29.10.12"
"050658","14","Вінницька область","школа, фойє
вул.Леніна, 30, с.Іванівці, Літинський р-н, Вінницька обл., 22311","216","64","216","14","138","14","152","","0","138","14","152","10","142","0","12","40","2","7","6","0","0","48","26","1","29.10.12"
"050659","14","Вінницька область","фельдшерський пункт, к.1
вул.Першотравнева, 9, с.Лука, Літинський р-н, Вінницька обл., 22311","138","43","133","22","73","22","95","","0","73","22","95","0","95","1","22","12","0","5","2","0","1","28","24","0","29.10.12"
"050660","14","Вінницька область","школа, к.1
вул.Фрунзе, 25, с.Осічок, Літинський р-н, Вінницька обл., 22311","66","15","60","10","41","10","51","","0","41","10","51","2","49","0","3","19","0","2","0","0","0","16","9","0","29.10.12"
"050661","14","Вінницька область","школа, зал
вул.Шкільна, 21, с.Уладівка, Літинський р-н, Вінницька обл., 22320","834","308","776","49","485","41","526","","0","485","41","526","9","517","6","19","112","6","43","20","4","2","261","40","4","29.10.12"
"050662","14","Вінницька область","будинок культури, зал
вул.Леніна, 3, с.Уладівка, Літинський р-н, Вінницька обл., 22320","684","252","674","59","376","56","432","","0","376","56","432","17","415","5","23","96","6","35","17","0","2","186","45","0","29.10.12"
"050663","14","Вінницька область","школа, к.2
вул.Поліщука, 3, с.Уладівка, Літинський р-н, Вінницька обл., 22320","288","92","276","35","164","32","196","","0","164","32","196","7","189","2","5","51","3","11","4","1","0","103","9","0","29.10.12"
"050664","14","Вінницька область","контора лісництва, к.1
вул.Ювілейна, 1, с-ще Матяшівка, Літинський р-н, Вінницька обл., 22320","174","40","172","14","121","13","134","","0","121","13","134","2","132","4","4","53","1","7","1","0","1","40","21","0","29.10.12"
"050665","14","Вінницька область","клуб спиртзаводу, зал
вул.Некрасова, 1А, с.Іванопіль, Літинський р-н, Вінницька обл., 22320","552","180","543","46","332","40","372","","0","332","40","372","8","364","0","10","88","3","54","10","2","5","169","21","2","29.10.12"
"050666","14","Вінницька область","фельдшерсько-акушерський пункт, к.2
вул.Центральна, 5, с.Пиківська Слобідка, Літинський р-н, Вінницька обл., 22320","108","26","101","8","74","8","82","","0","74","8","82","2","80","1","10","25","0","2","4","0","0","31","7","0","29.10.12"
"050667","14","Вінницька область","фельдшерсько-акушерський пункт, к.2
вул.Корнійчука, 3, с.Майдан-Бобрик, Літинський р-н, Вінницька обл., 22320","96","29","90","9","59","8","67","","0","59","8","67","3","64","2","1","15","0","10","3","1","1","16","14","1","29.10.12"
"050668","14","Вінницька область","сільська рада, к.2
вул.Шкільна, 1, с.Шевченка, Літинський р-н, Вінницька обл., 22312","372","156","360","34","188","28","216","","0","188","28","216","8","208","0","13","81","2","15","6","0","0","65","26","0","29.10.12"
"050669","14","Вінницька область","Літинська центральна районна лікарня, актовий зал
вул.Пирогова, 17, смт Літин, Літинський р-н, Вінницька обл., 22300","150","103","59","17","33","14","47","","0","33","14","47","3","44","1","1","11","0","3","1","0","0","22","4","1","29.10.12"
"050670","14","Вінницька область","Літинська виправна колонія №123, кабінет української мови
2-й провулок Радянський, 9, смт Літин, Літинський р-н, Вінницька обл., 22300","654","22","633","0","632","0","632","","0","632","0","632","23","609","4","9","583","3","1","4","0","0","4","0","1","29.10.12"
"051031","14","Вінницька область","адмінприміщення СВК ""Першого Травня"", хол
вул.Перемоги, 168, м.Гнівань, Тиврівський р-н, Вінницька обл., 23310","936","378","944","11","547","11","558","","0","547","11","558","26","532","16","29","101","8","17","32","1","4","239","79","6","29.10.12"
"051032","14","Вінницька область","школа №3, спортивна зала
вул.Витавська, 7, м.Гнівань, Тиврівський р-н, Вінницька обл., 23310","990","412","981","14","564","14","578","","0","564","14","578","22","556","9","17","102","4","38","32","3","6","269","72","4","29.10.12"
"051033","14","Вінницька область","дитячий навчальний заклад №2, група №1
вул.Терешкової, 43, м.Гнівань, Тиврівський р-н, Вінницька обл., 23310","1494","590","1488","13","893","11","904","","0","893","11","904","23","881","14","18","192","9","64","58","3","2","341","172","8","29.10.12"
"051034","14","Вінницька область","дитячий навчальний заклад №1, спортивна зала
вул.Красіна, 27, м.Гнівань, Тиврівський р-н, Вінницька обл., 23310","984","407","967","14","563","14","577","","0","563","14","577","8","569","7","14","77","7","32","22","3","2","323","78","4","29.10.12"
"051035","14","Вінницька область","школа №1, хол
вул.Макаренка, 14, м.Гнівань, Тиврівський р-н, Вінницька обл., 23310","1236","481","1221","11","744","11","755","","0","744","11","755","24","731","9","15","134","7","42","54","2","3","375","86","4","29.10.12"
"051036","14","Вінницька область","школа №2, хол
вул.Франка, 36, м.Гнівань, Тиврівський р-н, Вінницька обл., 23310","1200","462","1179","11","727","11","738","","0","0","0","738","173","565","9","13","121","11","46","36","2","2","231","92","2","31.10.12"
"051037","14","Вінницька область","будинок культури, хол
вул.Леніна, 88, м.Гнівань, Тиврівський р-н, Вінницька обл., 23310","1158","438","1157","12","708","12","720","","0","707","12","719","21","698","12","20","130","11","28","46","4","3","315","122","7","29.10.12"
"051038","14","Вінницька область","дитячий навчальний заклад №4, музична зала
вул.Червоноармійська, 49, м.Гнівань, Тиврівський р-н, Вінницька обл., 23310","786","305","782","15","466","15","481","","0","466","15","481","13","468","10","11","84","2","42","32","5","1","218","61","2","29.10.12"
"051039","14","Вінницька область","клуб ВАТ""Гніванський завод спецзалізобетону"", хол
вул.Промислова, 3, м.Гнівань, Тиврівський р-н, Вінницька обл., 23310","1278","492","1261","21","769","17","786","","0","0","0","786","240","546","10","19","150","4","24","43","3","5","156","125","7","31.10.12"
"051040","14","Вінницька область","будинок культури, зал
вул.Леніна, 100, м.Грижинці, Тиврівський р-н, Вінницька обл., 23310","528","178","523","22","328","22","350","","0","328","22","350","9","341","6","11","58","3","16","13","1","2","165","63","3","29.10.12"
"051041","14","Вінницька область","школа-інтернат, глядацька зала
вул.Леніна, 25, смт Сутиски, Тиврівський р-н, Вінницька обл., 23320","1146","470","1140","21","657","19","676","","0","657","19","676","5","671","10","13","141","11","29","45","3","7","327","82","3","29.10.12"
"051042","14","Вінницька область","селищна рада, зал засідань
просп.Перемоги, 21, смт Сутиски, Тиврівський р-н, Вінницька обл., 23320","1272","546","1260","14","712","14","726","","0","712","14","726","16","710","8","10","175","2","41","37","2","2","327","102","4","29.10.12"
"051043","14","Вінницька область","будинок культури, хол
вул.Єгоровича, 3, смт Сутиски, Тиврівський р-н, Вінницька обл., 23320","1568","844","1220","10","717","7","724","","0","717","7","724","19","705","7","13","183","6","27","29","1","1","326","112","0","29.10.12"
"051044","14","Вінницька область","школа №1, хол
пл.Перемоги, 7, смт Сутиски, Тиврівський р-н, Вінницька обл., 23320","1176","497","1170","30","652","27","679","","0","652","27","679","17","662","13","8","114","5","27","36","2","3","401","53","0","06.11.12"
"051045","14","Вінницька область","лікарня, хол
вул.Леніна, 36, смт Тиврів, Тиврівський р-н, Вінницька обл., 23300","1320","422","1292","20","879","19","898","","0","0","0","898","288","610","14","10","174","6","50","42","2","2","155","152","3","31.10.12"
"051046","14","Вінницька область","будинок культури, хол
вул.Леніна, 49, смт Тиврів, Тиврівський р-н, Вінницька обл., 23300","1038","392","1028","13","634","12","646","","0","634","12","646","20","626","13","10","106","5","29","28","2","6","313","111","3","29.10.12"
"051047","14","Вінницька область","школа, хол
вул.Леніна, 20, смт Тиврів, Тиврівський р-н, Вінницька обл., 23300","1038","382","1030","14","642","14","656","","0","642","14","656","10","646","13","12","151","8","36","29","0","2","297","97","1","29.10.12"
"051048","14","Вінницька область","будинок-інтернат геріатричного профілю, клуб
вул.Матросова, 2, смт Тиврів, Тиврівський р-н, Вінницька обл., 23300","234","32","230","93","114","88","202","","0","114","88","202","13","189","5","4","60","4","11","5","1","1","51","43","4","29.10.12"
"051049","14","Вінницька область","будинок культури, зал обрядових послуг
вул.Жовтнева, 4, с.Бушинка, Тиврівський р-н, Вінницька обл., 23345","312","123","307","23","167","22","189","","0","167","22","189","3","186","1","5","54","3","36","4","0","2","49","30","2","29.10.12"
"051050","14","Вінницька область","сільський магазин, торгова зала
вул.В.Чорновола, 12, с-ще Гута-Бушинська, Тиврівська р-н, Вінницька обл., 23345","42","19","40","2","22","1","23","","0","22","1","23","1","22","0","0","13","0","1","2","0","0","1","5","0","29.10.12"
