"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балдинюк
Василь
Михайлович","Болотенюк
Степан
Васильович","Братанюк
Леонід
Євгенович","Власюк
Олександр
Іванович","Вовк
Анатолій
Іванович","Демчак
Андрій
Васильович","Калетнік
Григорій
Миколайович","Квашук
Олександр
Євгенович","Кошиль
Андрій
Григорович","Куровський
Станіслав
Євгенович","Манжуловський
Олександр
Феофанович","Миролюб
Наталія
Анатоліївна","Стамбула
Геннадій
Станіславович","Філонова
Анна
Валентинівна","Чечель
Микола
Йосипович","Якименко
Костянтин
Вячеславович","Дата підписання протоколу"
"050775","18","Вінницька область","будинок культури, хол
вул.Леніна, 6, смт Брацлав, Немирівський р-н, Вінницька обл., 22870","1228","538","1216","80","618","72","690","","0","618","72","690","62","628","12","4","8","3","10","21","187","33","4","143","6","2","4","12","6","173","29.10.12"
"050776","18","Вінницька область","школа №1, актовий зал
вул.Комінтерна, 7, смт Брацлав, Немирівський р-н, Вінницька обл., 22870","1512","637","1508","23","857","18","875","","0","857","18","875","26","849","10","0","6","2","6","18","278","70","2","144","5","9","0","14","2","283","29.10.12"
"050777","18","Вінницька область","школа №2, актовий зал
вул.Кармелюка, 19, смт Брацлав, Немирівський р-н, Вінницька обл., 22870","1124","432","1140","37","655","37","692","","0","655","37","692","16","676","5","1","5","3","7","20","323","45","1","109","2","5","1","16","2","131","29.10.12"
"050778","18","Вінницька область","школа, спортивний зал
вул.Івана Франка, 5, смт Ситківці, Немирівський р-н, Вінницька обл., 22865","980","363","969","51","571","46","617","","0","571","46","617","10","607","8","3","6","6","3","25","180","16","1","151","1","3","2","8","0","194","29.10.12"
"050779","18","Вінницька область","будинок культури, актовий зал
вул.Мандролька, 19, смт Ситківці, Немирівський р-н, Вінницька обл., 22865","864","357","849","81","435","72","507","","0","435","72","507","20","487","9","3","4","3","1","13","143","21","1","120","0","8","1","6","2","152","29.10.12"
"050780","18","Вінницька область","сільська рада, зал засідань
вул.Шкільна, 5А, с.Байраківка, Немирівський р-н, Вінницька обл., 22814","332","97","328","42","195","40","235","","0","195","40","235","3","232","5","2","1","2","2","4","126","10","2","10","0","2","2","0","2","62","29.10.12"
"050781","18","Вінницька область","фельдшерсько-акушерський пункт, оглядова кімната
вул.Космонавтів, 1А, с.Дубмаслівка, Немирівський р-н, Вінницька обл., 22814","104","19","101","24","63","22","85","","0","63","22","85","3","82","0","1","0","1","0","2","54","2","0","2","0","1","1","1","1","16","29.10.12"
"050782","18","Вінницька область","клуб, хол
вул.Жученка, 11А, с.Глинянець, Немирівський р-н, Вінницька обл., 22814","140","27","139","21","93","20","113","","0","93","20","113","4","109","1","0","3","0","3","2","66","4","0","1","1","1","2","1","0","24","29.10.12"
"050783","18","Вінницька область","будинок культури, приміщення для засідань
вул.Леніна, 32, с.Боблів, Немирівський р-н, Вінницька обл., 22813","320","83","317","27","212","25","237","","0","212","25","237","5","232","1","1","3","0","1","1","148","5","0","0","1","0","1","1","0","69","29.10.12"
"050784","18","Вінницька область","школа, їдальня
вул.Х.Малика, 1, с.Бондурівка, Немирівський р-н, Вінницька обл., 22832","176","45","173","21","113","18","131","","0","113","18","131","4","127","0","1","0","0","2","1","70","4","0","26","1","1","0","0","0","21","29.10.12"
"050785","18","Вінницька область","школа, кабінет початкових класів
вул.Клубна, 1, с.Мар’янівка, Немирівський р-н, Вінницька обл., 22832","120","27","118","17","77","16","93","","0","77","16","93","3","90","1","1","2","0","0","1","48","0","0","14","0","1","0","3","0","19","29.10.12"
"050786","18","Вінницька область","будинок культури, актовий зал
вул.А.Мовчана, 33, с.Бугаків, Немирівський р-н, Вінницька обл., 22852","428","140","425","20","269","19","288","","0","269","19","288","9","279","1","2","1","2","1","16","135","5","2","21","1","2","0","9","1","80","29.10.12"
"050787","18","Вінницька область","будинок культури, приміщення для засідань
вул.Леніна, 11А, с.Велика Бушинка, Немирівський р-н, Вінницька обл., 22845","1012","311","1010","51","652","49","701","","0","652","49","701","18","683","3","2","3","1","1","26","210","26","1","59","3","2","3","15","1","327","29.10.12"
"050788","18","Вінницька область","школа, спортивний зал
вул.50річчя Жовтня, 1, с.Вишківці, Немирівський р-н, Вінницька обл., 22847","432","125","431","26","284","23","307","","0","284","23","307","10","297","4","0","0","1","4","8","134","9","1","38","2","0","0","3","0","93","29.10.12"
"050789","18","Вінницька область","клуб, актовий зал
вул.50річчя Жовтня, 35, с.Забужжя, Немирівський р-н, Вінницька обл., 22848","192","42","189","20","131","19","150","","0","131","19","150","8","142","1","0","2","1","1","2","67","8","1","2","0","0","1","3","0","53","29.10.12"
"050790","18","Вінницька область","будинок культури, приміщення для засідань
вул.Леніна, 2, с.Вища Кропивна, Немирівський р-н, Вінницька обл., 22867","464","136","462","52","277","51","328","","0","277","51","328","11","317","0","2","2","1","1","6","191","4","2","12","1","2","3","6","0","84","29.10.12"
"050791","18","Вінницька область","школа, коридор
вул.Коцюбинського, 13А, с.Вовчок, Немирівський р-н, Вінницька обл., 22855","620","176","619","38","406","38","444","","0","406","38","444","15","429","4","1","1","4","2","10","200","17","3","53","6","2","0","6","0","120","29.10.12"
"050792","18","Вінницька область","школа-сад, ігрова кімната
вул.Мазура, 24А, с.Довжок, Немирівський р-н, Вінницька обл., 22855","148","25","147","21","102","21","123","","0","102","21","123","1","122","0","0","2","1","0","1","75","2","0","3","2","1","2","5","0","28","29.10.12"
"050793","18","Вінницька область","школа, спортивний зал
вул.Леніна, 22, с.Воловодівка, Немирівський р-н, Вінницька обл., 22810","328","68","328","35","227","33","260","","0","227","33","260","9","251","1","1","5","2","0","13","188","4","0","6","0","2","0","5","0","24","29.10.12"
"050794","18","Вінницька область","сільська рада, кабінет голови
вул.Братів Тернових, 24, с.Ворбіївка, Немирівський р-н, Вінницька обл., 22844","296","77","293","31","191","28","219","","0","191","28","219","5","214","3","1","2","2","1","4","90","5","1","11","2","0","2","8","0","82","29.10.12"
"050795","18","Вінницька область","школа, кабінет німецької мови
вул.Ковпака, 4, с.Головеньки, Немирівський р-н, Вінницька обл., 22891","308","75","304","30","205","28","233","","0","205","28","233","7","226","0","5","4","1","0","4","110","17","1","10","2","0","1","5","0","66","29.10.12"
"050796","18","Вінницька область","сільська рада, зал засідань
вул.Леніна, 54, с.Грабовець, Немиріський р-н, Вінницька обл., 22874","444","166","439","52","229","49","278","","0","229","49","278","3","275","3","0","5","1","4","2","186","5","1","12","1","3","1","6","1","44","29.10.12"
"050797","18","Вінницька область","школа, спортивний зал
вул.Леніна, 49, с.Гриненки, Немирівський р-н, Вінницька обл., 22873","316","82","315","38","197","37","234","","0","197","37","234","6","228","1","0","2","1","2","1","154","8","2","20","0","1","0","6","0","30","29.10.12"
"050798","18","Вінницька область","сільська рада, хол
вул.Леніна, 1, с.Джуринці, Немирівський р-н, Вінницька обл., 22864","316","76","314","30","210","30","240","","0","210","30","240","7","233","1","1","3","1","1","3","151","2","0","30","4","2","0","2","1","31","29.10.12"
"050799","18","Вінницька область","адмінбудинок СВК ""Поділля"", зал засідань
вул.Леніна, 38, с.Зарудинці, Немирівський р-н, Вінницька обл., 22850","312","62","310","29","221","29","250","","0","221","29","250","6","244","3","2","3","2","2","9","109","6","1","11","0","2","2","4","0","88","29.10.12"
"050800","18","Вінницька область","клуб, актовий зал
вул.Привокзальна, 14, с-ще Кароліна, Немирівський р-н, Вінницька обл., 22850","216","61","217","18","138","17","155","","0","138","17","155","3","152","1","2","2","0","0","1","66","5","0","10","0","0","1","6","0","58","29.10.12"
"050801","18","Вінницька область","клуб, актовий зал
вул.Лісова, 2, с.Озеро, Немирівський р-н, Вінницька обл., 22850","188","43","188","12","133","12","145","","0","133","12","145","2","143","1","0","1","1","0","5","57","3","0","1","1","2","0","3","0","68","29.10.12"
"050802","18","Вінницька область","фельдшерсько-акушерський пункт, оглядова кімната
вул.Зелена, 28, с.Вовчок, Немирівський р-н, Вінницька обл., 22851","96","26","96","14","56","14","70","","0","56","14","70","0","70","1","0","0","0","0","1","34","0","0","0","1","0","0","0","0","33","29.10.12"
"050803","18","Вінницька область","сільська рада, зал засідань
вул.Перемоги, 54, с.Зяньківці, Немирівський р-н, Вінницька обл., 22882","184","38","185","16","130","16","146","","0","130","16","146","0","146","2","0","1","0","1","6","58","11","4","13","1","1","1","5","1","41","29.10.12"
"050804","18","Вінницька область","фельдшерсько-акушерський пункт, оглядова кімната
вул.Жовтнева, 54, с.Анциполівка, Немирівський р-н, Вінницька обл., 22882","96","18","99","17","61","17","78","","0","61","17","78","4","74","0","0","2","0","1","1","35","4","0","4","0","0","1","0","0","26","29.10.12"
"050805","18","Вінницька область","будинок культури, актовий зал
пл.Незалежності, 2, с.Кірове, Немирівський р-н, Вінницька обл., 22833","1176","492","1156","53","632","52","684","","0","632","52","684","19","665","0","1","6","2","2","38","213","33","1","63","5","5","2","19","2","273","29.10.12"
"050806","18","Вінницька область","клуб, актовий зал
вул.Садова, 26, с.Селевинці, Немирівський р-н, Вінницька обл., 22801","316","84","310","37","198","34","232","","0","198","34","232","8","224","0","0","2","2","1","5","88","8","0","17","3","2","1","3","1","91","28.10.12"
"050807","18","Вінницька область","школа, їдальня
вул.Пришкільна, 7, с.Монастирок, Немирівський р-н, Вінницька обл., 22801","208","62","203","13","134","12","146","","0","134","12","146","6","140","0","1","0","1","0","4","56","7","0","4","0","0","0","1","0","66","29.10.12"
"050808","18","Вінницька область","будинок культури, танцювальний зал
вул.Леніна, 2, с.Ковалівка, Немирівський р-н, Вінницька обл., 22830","1104","416","1094","20","669","19","688","","0","669","19","688","18","670","13","2","5","1","5","17","309","28","1","19","2","6","3","22","0","237","29.10.12"
"050809","18","Вінницька область","школа, актовий зал
вул.Н.Крупської, 3, с.Ковалівка, Немирівський р-н, Вінницька обл., 22830","1588","679","1573","45","864","45","909","","0","864","45","909","31","878","13","3","12","5","8","25","309","55","4","44","8","10","3","48","2","329","29.10.12"
"050810","18","Вінницька область","клуб, хол
вул.Дружби, 31, с.Потоки, Немирівський р-н, Вінницька обл., 22832","172","32","169","12","129","11","140","","0","129","11","140","2","138","1","1","0","0","1","2","89","4","0","18","2","1","0","3","2","14","29.10.12"
"050811","18","Вінницька область","адмінбудинок ВСК ""Надія"", зал засідань
вул.Перемоги, 16, с.Коржівка, Немирівський р-н, Вінницька обл., 22856","200","47","198","38","115","38","153","","0","115","38","153","1","152","1","0","1","0","0","1","112","2","1","21","0","1","0","2","0","10","28.10.12"
"050812","18","Вінницька область","будинок культури, актовий зал
вул.Леніна, 3, с.Криківці, Немирівський р-н, Вінницька обл., 22834","368","102","366","33","234","32","266","","0","234","32","266","7","259","0","1","2","1","0","1","112","3","1","11","0","0","0","3","1","123","29.10.12"
"050813","18","Вінницька область","клуб, актовий зал
вул.Миру, 2, с.Будки, Немирівський р-н, Вінницька обл., 22835","184","28","185","15","141","15","156","","0","141","15","156","4","152","1","1","0","1","1","5","63","6","0","3","1","1","1","0","0","68","29.10.12"
"050814","18","Вінницька область","клуб, актовий зал
вул.Клубна, 48, с.Сорокотяжинці, Немирівський р-н, Вінницька обл., 22835","176","40","173","25","112","24","136","","0","112","24","136","11","125","1","1","3","1","1","2","43","5","0","11","1","0","2","1","0","53","29.10.12"
"050815","18","Вінницька область","клуб, актовий зал
вул.Першотравнева, 15, с.Кудлаї, Немирівський р-н, Вінницька обл., 22820","240","65","237","24","152","23","175","","0","152","23","175","2","173","2","2","1","1","1","0","107","5","1","1","0","1","0","5","0","46","29.10.12"
"050816","18","Вінницька область","школа, спортивний зал
вул.Шкільна, 10, с.Дубовець, Немирівський р-н, Вінницька обл., 22820","264","80","264","29","155","29","184","","0","155","29","184","1","183","2","2","1","0","0","6","73","9","0","5","0","0","0","5","0","80","29.10.12"
"050817","18","Вінницька область","будинок культури, актовий зал
вул.Леніна, 116, с.Марксове, Немирівський р-н, Вінницька обл., 22872","704","205","701","51","449","50","499","","0","449","50","499","11","488","8","5","4","2","1","8","266","1","62","5","0","2","9","16","0","99","29.10.12"
"050818","18","Вінницька область","школа, коридор
вул.Леніна, 10, с.Медвежа, Немирівський р-н, Вінницька обл., 22822","428","100","429","27","302","26","328","","0","302","26","328","15","313","3","3","7","1","2","8","145","3","2","31","1","4","0","8","0","95","29.10.12"
"050819","18","Вінницька область","школа, кабінет початкових класів
вул.Чапаєва, 1, с.Гостинне, Немирівський р-н, Вінницька обл., 22823","292","94","289","22","176","22","198","","0","176","22","198","4","194","1","0","4","4","1","3","120","15","1","5","2","2","0","5","1","30","29.10.12"
"050820","18","Вінницька область","школа, спортивний зал
вул.Миру, 11, с.Мельниківці, Немирівський р-н, Вінницька обл., 22860","268","72","264","31","165","31","196","","0","165","31","196","4","192","0","1","0","1","0","3","121","4","0","6","1","0","2","1","0","52","29.10.12"
"050821","18","Вінницька область","клуб, коридор
вул.Леніна, 22, с.Червоне, Немирівський р-н, Вінницька обл., 22861","420","66","416","37","317","37","354","","0","317","37","354","6","348","3","4","8","1","1","4","179","15","2","14","0","2","1","5","2","107","29.10.12"
"050822","18","Вінницька область","школа, коридор
вул.Гагаріна, 28, с.Мухівці, Немирівський р-н, Вінницька обл., 22840","1168","325","1165","52","792","51","843","","0","792","51","843","18","825","7","0","4","4","0","22","434","32","1","47","2","5","4","18","0","245","29.10.12"
"050823","18","Вінницька область","клуб, хол
вул.Леніна, 45А, с.Шолудьки, Немирівський р-н, Вінницька обл., 22842","168","25","168","13","131","12","143","","0","131","12","143","12","131","0","1","0","1","0","2","45","2","0","10","2","0","0","3","0","65","29.10.12"
"050824","18","Вінницька область","клуб, актовий зал
вул.Жовтнева, 22А, с.Мала Бушинка, Немирівський р-н, Вінницька обл., 22841","104","24","103","6","75","5","80","","0","75","5","80","6","74","0","0","0","0","1","1","45","2","1","1","0","0","1","4","0","18","29.10.12"
"050825","18","Вінницька область","будинок культури, актовий зал
вул.Леніна, 39, с.Никифорівці, Немирівський р-н, Вінницька обл., 22821","340","86","341","38","217","37","254","","0","217","37","254","11","243","3","1","0","2","2","8","118","17","1","20","4","3","0","3","0","61","29.10.12"
"050826","18","Вінницька область","клуб-бібліотека, актовий зал
вул.Леніна, 5, с.Лука, Немирівський р-н, Вінницька обл., 22821","240","68","239","24","148","24","172","","0","148","24","172","5","167","1","2","1","1","0","3","119","7","1","6","0","2","0","2","1","21","29.10.12"
"050827","18","Вінницька область","школа, хол
вул.Мельника, 26, с.Нові Обиходи, Немирівський р-н, Вінницька обл., 22856","512","177","503","52","285","50","335","","0","285","50","335","9","326","5","0","2","1","1","7","154","14","0","10","2","2","2","9","2","115","29.10.12"
"050828","18","Вінницька область","клуб, хол
вул.Бугова, 24, с.Новоселівка, Немирівський р-н, Вінницька обл., 22883","288","78","293","32","183","27","210","","0","183","27","210","8","202","1","0","2","3","1","2","82","6","0","31","2","2","3","7","0","60","29.10.12"
"050829","18","Вінницька область","будинок культури, актовий зал
вул.Центральна, 9, с.Обідне, Немирівський р-н, Вінницька обл., 22811","376","45","375","28","306","25","331","","0","306","25","331","2","329","3","1","3","1","2","1","212","13","1","2","2","2","1","3","3","79","29.10.12"
"050830","18","Вінницька область","будинок культури, зал засідань
вул.Успенська, 3, с.Ометинці, Немирівський р-н, Вінницька обл., 22862","464","128","460","34","307","29","336","","0","307","29","336","9","327","2","4","2","2","3","7","154","2","1","20","2","0","0","15","1","112","29.10.12"
"050831","18","Вінницька область","будинок культури, хол
вул.Леніна, 14, с.Райгород, Немирівський р-н, Вінницька обл., 22880","748","247","742","51","452","49","501","","0","452","49","501","9","492","2","2","3","3","2","4","191","34","3","8","0","0","4","11","4","221","29.10.12"
"050832","18","Вінницька область","клуб, актовий зал
вул.Грабовського, 30, с.Нища Кропивна, Немирівський р-н, Вінницька обл., 22881","168","42","163","10","116","10","126","","0","116","10","126","5","121","0","3","3","0","0","3","49","4","0","0","1","3","0","1","1","53","29.10.12"
"050833","18","Вінницька область","будинок культури, обрядовий зал
вул.Чапаєва, 63, с.Рубань, Немирівський р-н, Вінницька обл., 22831","584","201","587","59","327","56","383","","0","327","56","383","11","372","4","0","4","0","4","14","121","10","2","36","2","1","1","8","1","164","29.10.12"
"050834","18","Вінницька область","будинок культури, хол
вул.Молодіжна, 13А, с.Семенки, Немирівський р-н, Вінницька обл., 22881","232","58","231","24","151","23","174","","0","151","23","174","12","162","2","0","1","1","1","1","83","3","2","2","0","1","0","0","1","64","29.10.12"
"050835","18","Вінницька область","бібліотека, читальний зал
вул.Перемоги, 11А, с.Салинці, Немирівський р-н, Вінницька обл., 22882","108","26","105","16","67","15","82","","0","67","15","82","2","80","1","1","1","2","0","1","48","0","0","4","0","1","0","0","1","20","29.10.12"
"050836","18","Вінницька область","сільська рада, зал засідань
вул.Центральна, 35, с.Скрицьке, Немирівський р-н, Вінницька обл., 22883","152","49","148","8","95","8","103","","0","95","8","103","1","102","0","1","3","0","1","2","68","6","1","8","0","0","0","3","0","9","29.10.12"
"050837","18","Вінницька область","будинок культури, актовий зал
вул.Леніна, 21, с.Сокілець, Немирівський р-н, Вінницька обл., 22846","616","179","608","60","381","56","437","","0","381","56","437","14","423","2","4","3","1","1","6","209","12","1","16","0","0","1","15","0","152","29.10.12"
"050838","18","Вінницька область","клуб, актовий зал
вул.Олексіївська, 30, с.Олексіївка, Немирівський р-н, Вінницька обл., 22846","100","26","98","16","58","16","74","","0","58","16","74","2","72","1","0","2","0","0","0","18","3","0","0","0","1","0","0","0","47","29.10.12"
"050839","18","Вінницька область","школа, коридор
вул.Центральна, 15, с.Сподахи, Немирівський р-н, Вінницька обл., 22812","524","144","513","58","322","58","380","","0","322","58","380","10","370","6","2","2","5","3","9","216","11","4","8","1","3","3","5","1","91","29.10.12"
"050840","18","Вінницька область","будинок культури, актовий зал
вул.Леніна, 21Б, с.Стрільчинці, Немирівський р-н, Вінницька обл., 22843","376","62","370","33","281","33","314","","0","281","33","314","11","303","2","1","0","4","0","10","175","10","1","2","0","2","1","9","2","84","29.10.12"
"050841","18","Вінницька область","будинок культури, хол
вул.Леонтовича, 4, с.Чуків, Немирівський р-н, Вінницька обл., 22851","688","224","680","49","415","49","464","","0","415","49","464","13","451","7","4","3","1","5","28","158","21","1","35","3","1","2","24","1","157","29.10.12"
"050842","18","Вінницька область","клуб, актовий зал
вул.Мельниченка, 17, с.Остапківці, Немирівський р-н, Віінницька обл., 22853","168","44","163","15","109","15","124","","0","109","15","124","4","120","0","0","2","0","1","5","41","7","0","41","0","1","1","1","0","20","29.10.12"
"050843","18","Вінницька область","клуб, актовий зал
вул.Леніна, 9, с.Перепеличчя, Немирівський р-н, Вінницька обл., 22854","112","24","112","19","70","18","88","","0","70","18","88","1","87","0","0","5","0","1","0","41","3","1","0","0","0","0","2","1","33","29.10.12"
"050844","18","Вінницька область","будинок культури, хол
вул.Центральна, 9, с.Юрківці, Немирівський р-н, Вінницька обл., 22863","536","145","533","32","360","31","391","","0","360","31","391","7","384","0","4","0","0","1","13","247","4","2","21","4","3","2","11","0","72","29.10.12"
"050845","18","Вінницька область","клуб, актовий зал
вул.І.Богуна, 72, с.Язвинки, Немирівський р-н, Вінницька обл., 22826","216","62","211","20","135","19","154","","0","135","19","154","8","146","1","1","3","2","2","2","68","5","1","1","0","0","1","4","0","55","29.10.12"
"050846","18","Вінницька область","будинок культури, актовий зал
вул.Молодіжна, 35, с.Гунька, Немирівський р-н, Вінницька обл., 22826","516","134","513","31","353","29","382","","0","353","29","382","10","372","4","3","2","1","1","11","171","9","1","17","3","6","2","12","0","129","29.10.12"
"050847","18","Вінницька область","школа, кабінет початкових класів
вул.Радянська, 26А, с.Супрунівка, Немирівський р-н, Вінницька обл., 22825","132","38","127","1","94","0","94","","0","94","0","94","1","93","1","1","2","1","2","2","61","2","0","4","0","0","2","2","0","13","29.10.12"
"050848","18","Вінницька область","Немирівська центральна лікарня, хол поліклініки
вул.Євдокименко, 21, м.Немирів, Немирівський р-н, Вінницька обл., 22800","112","42","75","45","30","40","70","","0","30","40","70","1","69","2","2","1","0","1","2","28","1","1","4","1","0","1","1","0","24","30.10.12"
"050849","18","Вінницька область","музична школа, актова зала
вул.Кірова, 12, смт Оратів, Оратівський р-н, Вінницька обл., 22600","1452","492","1433","53","911","49","960","","0","911","49","960","23","937","18","5","15","6","4","67","301","53","3","74","8","8","0","17","4","354","29.10.12"
"050850","18","Вінницька область","будинок культури, зал
вул.Леніна, 82, смт Оратів, Оратівський р-н, Вінницька обл., 22600","1236","519","1229","36","686","31","717","","0","686","31","717","14","703","12","2","10","3","2","40","233","38","1","24","4","11","0","14","4","305","29.10.12"
"050851","18","Вінницька область","сільський клуб, зал
вул.Перемоги, 4, с.Прибережне, Оратівський р-н, Вінницька обл., 22600","176","62","174","10","106","8","114","","0","106","8","114","4","110","1","0","2","1","0","2","55","2","0","12","1","3","1","1","0","29","29.10.12"
"050852","18","Вінницька область","будинок культури, зал
вул.Леніна, 52, с.Балабанівка, Оратівський р-н, Вінницька обл., 22653","748","247","743","77","426","75","501","","0","426","75","501","9","492","7","1","6","3","2","10","191","11","2","11","3","3","1","4","0","237","29.10.12"
"050853","18","Вінницька область","ПрАТ ""Агрофорт"", актова зала
вул.Кірова, 20, с.Велика Ростівка, Оратівський р-н, Вінницька обл., 22630","464","116","455","50","301","47","348","","0","301","47","348","18","330","6","1","7","5","1","21","134","6","1","49","3","3","1","10","0","82","29.10.12"
"050854","18","Вінницька область","будинок культури, зал
вул.Центральна, 16, с.Животівка, Оратівський р-н, Вінницька обл., 22623","548","134","535","58","356","58","414","","0","356","58","414","17","397","9","2","4","2","0","23","163","15","3","5","1","5","2","9","2","152","28.10.12"
"050855","18","Вінницька область","будинок культури, зал
вул.Центральна, 3, с.Заруддя, Оратівський р-н, Вінницька обл., 22643","468","108","466","41","324","36","360","","0","324","36","360","8","352","5","1","5","1","1","5","159","10","0","9","3","1","1","7","2","142","28.10.12"
"050856","18","Вінницька область","сільський клуб, зал
вул.Радгоспна, 6, с.Гоноратка, Оратівський р-н, Вінницька обл., 22600","220","70","215","16","136","14","150","","0","136","14","150","4","146","0","1","1","0","0","9","62","7","0","1","2","2","0","5","0","56","28.10.12"
"050857","18","Вінницька область","школа, актова зала
вул.Шкільна, 25, с.Кожанка, Оратівський р-н, Вінницька обл., 22611","432","99","428","66","276","57","333","","0","276","57","333","13","320","1","1","8","2","0","6","156","6","1","28","2","2","1","2","3","101","29.10.12"
"050858","18","Вінницька область","сільський клуб, зал
вул.Леніна, 19, с.Кошлани, Оратівський р-н, Вінницька обл., 22644","256","14","259","31","211","31","242","","0","211","31","242","0","242","0","0","0","0","1","0","205","0","0","2","0","0","0","0","0","34","28.10.12"
"050859","18","Вінницька область","школа, кл. 9
вул.Ворошилова, 5, с.Дібровинці, Оратівський р-н, Вінницька обл., 22645","216","45","216","20","151","20","171","","0","151","20","171","8","163","0","0","0","0","0","4","125","5","2","7","0","0","0","3","0","17","29.10.12"
"050860","18","Вінницька область","сільський клуб, зал
вул.Жовтнева, 7А, с.Лопатинка, Оратівський р-н, Вінницька обл., 22632","392","112","389","31","249","31","280","","0","249","31","280","7","273","2","0","6","1","3","10","115","6","2","16","6","1","0","7","0","98","29.10.12"
"050861","18","Вінницька область","будинок культури, зал
вул.Першотравнева, 31, с.Медівка, Оратівський р-н, Вінницька обл., 22631","456","43","466","41","375","38","413","","0","375","38","413","1","412","4","0","4","1","0","16","226","4","1","11","3","2","0","9","1","130","28.10.12"
"050862","18","Вінницька область","будинок культури, зал
вул.Перемоги, 46Б, с.Новоживотів, Оратівський р-н, Вінницька обл., 22620","976","274","967","105","612","90","702","","0","612","90","702","17","685","7","1","5","1","1","15","340","27","4","22","3","8","1","17","0","233","29.10.12"
"050863","18","Вінницька область","сільський клуб, зал
вул.Миру, 33, с.Оратів, Оратівський р-н, Вінницька обл., 22650","608","196","600","25","390","22","412","","0","390","22","412","13","399","5","1","5","2","1","15","146","11","2","92","3","3","2","5","0","106","29.10.12"
"050864","18","Вінницька область","будинок культури, зал
вул.Леніна, 49, с.Осична, Оратівський р-н, Вінницька обл., 22624","440","105","434","42","294","41","335","","0","294","41","335","7","328","1","1","6","1","1","7","193","6","1","9","1","1","2","4","1","93","28.10.12"
"050865","18","Вінницька область","сільська рада, зал засідань
вул.Фрунзе, 41, с.Очитків, Оратівський р-н, Вінницька обл., 22610","352","116","348","30","210","26","236","","0","210","26","236","9","227","3","1","3","1","0","3","79","2","1","2","1","1","2","4","26","98","28.10.12"
"050866","18","Вінницька область","сільський клуб, зал
вул.Перемоги, 22А, с.Люлинці, Оратівський р-н, Вінницька обл., 22610","140","12","139","13","115","13","128","","0","115","13","128","4","124","0","1","1","1","1","6","71","2","0","4","0","0","0","1","12","24","28.10.12"
"050867","18","Вінницька область","сільський будинок культури, зал
вул.Леніна, 29, с.Підвисоке, Оратівський р-н, Вінницька обл., 22655","356","76","353","37","246","34","280","","0","246","34","280","9","271","2","3","2","1","0","11","141","4","1","3","0","1","1","4","0","97","29.10.12"
"050868","18","Вінницька область","школа, актова зала
вул.Софії Козлової, 29, с.Рожична, Оратівський р-н, Вінницька обл., 22650","268","53","273","23","193","22","215","","0","193","22","215","4","211","0","0","1","0","1","6","125","3","0","8","0","1","0","3","0","63","28.10.12"
"050869","18","Вінницька область","дитячий садок, ігрова кімната
вул.Київська, 1, с.Оратівка, Оратівський р-н, Вінницька обл., 22650","160","24","158","15","123","13","136","","0","123","13","136","2","134","3","0","2","0","0","2","79","3","0","0","0","1","2","2","1","39","28.10.12"
"050870","18","Вінницька область","будинок культури, зал
вул.Леніна, 1, с.Сабарівка, Оратівський р-н, Вінницька обл., 22651","352","77","348","28","248","27","275","","0","248","27","275","4","271","3","0","2","2","1","11","157","3","1","7","1","5","1","7","0","70","29.10.12"
"050871","18","Вінницька область","сільський клуб, зал
вул.Леніна, 18Б, с.Скала, Оратівський р-н, Вінницька обл., 22616","468","92","462","46","331","45","376","","0","331","45","376","10","366","1","0","6","0","4","17","255","7","0","8","2","0","0","2","1","63","29.10.12"
"050872","18","Вінницька область","сільський клуб, зал
вул.Леніна, 7А, с.Скоморошки, Оратівський р-н, Вінницька обл., 22615","860","322","859","78","475","63","538","","0","475","63","538","17","521","3","4","11","4","3","11","299","14","1","35","2","2","3","10","0","119","28.10.12"
"050873","18","Вінницька область","сільський клуб, зал
вул.Леніна, 9А, с.Вербівка, Оратівський р-н, Вінницька обл., 22616","232","30","227","31","172","30","202","","0","172","30","202","0","202","1","0","1","0","0","2","134","10","2","12","0","0","0","0","0","40","28.10.12"
"050874","18","Вінницька область","сільський клуб, зал
вул.Леніна, 42, с.Кам’яногірка, Оратівський р-н, Вінницька обл., 22615","180","13","179","26","141","26","167","","0","141","26","167","1","166","1","0","4","1","0","2","119","2","1","1","0","0","0","0","0","35","29.10.12"
"050875","18","Вінницька область","будинок культури, зал
вул.Перемоги, 4А, с.Сологубівка, Оратівський р-н, Вінницька обл., 22634","408","126","400","17","268","14","282","","0","268","14","282","11","271","4","3","5","1","2","11","119","8","1","8","1","2","1","7","1","97","28.10.12"
