"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","Latitude","Longitude","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Акашев
Валентин
Анатолійович","Вітушко
Олег
Вікторович","Гудов
Іван
Ілліч","Корж
Євген
Юрійович","Кравченко
Микола
Васильович","Пономаренко
Ілля
Миколайович","Пономарьов
Андрій
Вікторович","Сурін
Андрій
Миколайович","Герасимчук
Анатолій
Андрійович","Коваленко
Василь
Васильович","Міщенко
Ігор
Іванович","Раковський
Олександр
Степанович","Риженков
Олександр
Миколайович","Філіндаш
Сергій
Миколайович","Ясько
Геннадій
Геннадійович","Борковець
Алла
Олексіївна","Васильєв
Олександр
Андрійович","Прилепський
Віктор
Володимирович","Сучков
Олексій
Анатолійович","Шанова
Людмила
Миколаївна","Асєєв
Олег
Анатолійович","Білий
Олексій
Петрович","Гудзюк
Сергій
Степанович","Дейнєс
Віталій
Геннадійович","Конишев
Геннадій
Аркадійович","Красновський
Сергій
Борисович","Решетняк
Ігор
Миколайович","Тіхонова
Лілія
Валентинівна","Асєєв
Ігор
Анатолійович","Забавін
Дмитро
В’ячеславович","Матвієнков
Сергій
Анатолійович","Мороз
Анатолій
Михайлович","Пуговкін
Дмитро
Юрійович","Романюк
Олександр
Володимирович","Щербаков
Сергій
Андрійович","Яременко
Микола
Дмитрович","Бакуліна
Наталія
Василівна","Борт
Віталій
Петрович","Молоков
Денис
Геннадійович","Наумов
Олександр
Олександрович","Новаковський
Іван
Сергійович","Поліванов
Олег
Олександрович","Ткачук
Лариса
Віталіївна","Бєліков
Юрій
Миколайович","Кисельов
Юрій
Анатолійович","Ложечкін
Вадим
Сергійович","Нагорний
Тимофій
Олександрович","Новиков
Станіслав
Олегович","Омельченко
Валерій
Павлович","Волинець
Євгеній
Валерійович","Здор
Костянтин
Семенович","Кушніров
Олександр
Леонідович","Лук’янов
Владислав
Валентинович","Півень
Микола
Іванович","Подорожко
Євген
Сергійович","Романченко
Олексій
Віталійович","Волошин
Геннадій
Якович","Литвинов
Леонід
Федорович","Славгородський
Ігор
Васильович","Стужук
Микола
Олександрович","Другашов
Дмитро
Олександрович","Жмурко
Андрій
Анатолійович","Поддубний
Володимир
Анатолійович","Подколзін
Тимур
Сергійович","Попов
Василь
Миколайович","Проценко
Володимир
Васильович","Рибак
Володимир
Іванович","Рижков
Анатолій
Іванович","Шкіря
Ігор
Миколайович","Алишев
Олександр
Миколайович","Антип
Петро
Іванович","Березовий
Микола
Вікторович","Весьолкін
Володимир
Юрійович","Вініченко
Сергій
Вікторович","Герасимов
Артур
Володимирович","Гончаров
Анатолій
Дмитрович","Карпушев
Олексій
Олександрович","Поляков
Віталій
Дмитрійович","Попов
Роман
Валентинович","П’ятько
Роман
Анатолійович","Черненко
Віталій
Григорович","Шило
Віталій
Олександрович","Байсаров
Леонід
Володимирович","Єлін
Ілля
Костянтинович","Єрмоленко
Олена
Олександрівна","Яструбенко
Олександр
Васильович","Гур
Юлія
Олександрівна","Омельянович
Денис
Сергійович","Ходус
Микола
Олександрович","Шипілов
Олег
Федорович","Боярський
Юрій
Іванович","Гордієнко
Сергій
Леонідович","Городенський
Максим
Олексійович","Корнієнко
Сергій
Миколайович","Кривошеєв
Дмитро
Олексійович","Ржавський
Володимир
Іванович","Сопельник
Віктор
Іванович","Азаров
Олексій
Миколайович","Бондарєв
Вадим
Анатолійович","Вєкуа
Фрідон
Напойович","Єрмак
Олег
Віталійович","Зонтов
Олег
Вячеславович","Казацький
Дмитро
Геннадійович","Котенко
Олег
Олексійович","Мельник
Віталій
Володимирович","Підлісний
Ігор
Павлович","Хмельовий
Анатолій
Петрович","Єрдакій
Олег
Миколайович","Каплунов
Денис
Вікторович","Капля
Вадим
Вікторович","Клюєв
Сергій
Петрович","Матейченко
Костянтин
Володимирович","Теплицький
Валерій
Павлович","Волкова
Ольга
Іванівна","Гришко
Олег
Борисович","Звягільський
Юхим
Леонідович","Сінілов
Олександр
Валерійович","Топузов
Олександр
Юрійович","Волинко
Микола
Миколайович","Жнівін
Сергій
Юрійович","Кравченко
Анатолій
Васильович","Левицький
Євген
Леонідович","Левченко
Микола
Олександрович","Лигін
Роман
Олександрович","Лягін
Роман
Вікторович","Нікітін
Станіслав
Олександрович","Симоненко
Олександр
Борисович","Абрамчук
Євген
Миколайович","Бунтовський
Сергій
Юрійович","Вельдяксова
Ольга
Олександрівна","Волков
Роман
Юрійович","Екштейн
Інна
Миколаївна","Коваленко
Юрій
Тимофійович","Кутепов
Микола
Леонідович","Ландик
Валентин
Іванович","Лівочка
Олександр
Васильович","Рищенко
Наталя
Ашотовна","Анікушин
Сергій
Ігорович","Бахтеєва
Тетяна
Дмитрівна","Лук’янець
Володимир
Васильович","Талишев
Євген
Іванович","Шейко
Вольга
Василівна","Юрчак
Вадим
Олександрович","Бобков
Олександр
Михайлович","Деркач
Володимир
Григорович","Заярний
Артем
Олексійович","Скакун
Павло
Петрович","Дата підписання протоколу"
"140714","52","Донецька область","вул.Піонерів, 2, м.Артемове, м.Дзержинськ, Донецька обл., 85290","48.36871","37.87677","1336","575","1304","64","701","60","761","","0","701","60","761","11","750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","6","58","4","1","10","4","7","658","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140718","52","Донецька область","вул.Леніна, 1, смт Кірове, м.Дзержинськ, Донецька обл., 85280","48.36857","37.8818399","1696","770","1653","118","818","108","926","","0","818","108","926","23","903","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","13","114","1","2","124","28","53","565","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140719","52","Донецька область","вул.Леніна, 1, смт Кірове, м.Дзержинськ, Донецька обл., 85280","48.36857","37.8818399","1072","329","1053","60","686","57","743","","0","686","57","743","13","730","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","8","70","2","4","86","22","43","492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140720","52","Донецька область","вул.Нова, 4, смт Кірове, м.Дзержинськ, Донецька обл., 85280","48.37901","37.87951","2192","928","2161","72","1192","72","1264","","0","1192","72","1264","26","1238","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","25","6","162","7","107","49","73","800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140721","52","Донецька область","вул.Леніна, 5, смт Кірове, м.Дзержинськ, Донецька обл., 85280","48.36977","37.88015","2000","916","1962","58","1042","42","1084","","0","1042","42","1084","35","1049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","22","136","2","15","96","40","57","678","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140722","52","Донецька область","вул.Зарічна, 1, с-ще Дружба, м.Дзержинськ, Донецька обл., 85286","48.35631","37.9247299","1360","612","1349","65","683","65","748","","0","683","65","748","17","731","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","17","31","4","2","114","25","82","454","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140723","52","Донецька область","вул.Філатова, 6, смт Курдюмівка, м.Дзержинськ, Донецька обл., 85285","48.40666","37.86614","944","405","934","72","468","71","539","","0","468","71","539","33","506","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","17","145","5","0","70","13","27","224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140724","52","Донецька область","пров.1-й Поштовий, палац культури Новгородського машинобудівного заводу, смт Новгородське, м.Дзержинськ, Донецька обл., 85297","","","1568","164","1544","58","1346","58","1404","","0","1346","58","1404","0","1404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2","126","0","2","23","6","0","1245","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140725","52","Донецька область","вул.Єсеніна, 2, смт Новгородське, м.Дзержинськ, Донецька обл., 85297","48.32503","37.82526","1520","330","1494","30","1164","26","1190","","0","1164","26","1190","0","1190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","96","2","0","13","0","0","1079","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140726","52","Донецька область","пров.Пролетарський, 24, смт Новгородське, м.Дзержинськ, Донецька обл., 85297","48.3379478","37.8221566","704","137","696","17","550","17","567","","0","550","17","567","7","560","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3","41","0","2","38","13","9","454","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140727","52","Донецька область","вул.Зарічна, 1, смт Новгородське, м.Дзержинськ, Донецька обл., 85295","48.35631","37.9247299","1480","388","1455","126","966","126","1092","","0","966","126","1092","12","1080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","21","54","3","5","112","36","29","818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140728","52","Донецька область","вул.Соцгородок, 5А, смт Новгородське, м.Дзержинськ, Донецька обл., 85295","48.33611","37.84405","1696","284","1677","79","1333","79","1412","","0","1333","79","1412","37","1375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","37","162","6","4","112","33","37","976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140730","52","Донецька область","вул.Радянська, 1, смт Новгородське, м.Дзержинськ, Донецька обл., 85296","48.3986942","37.8302038","768","138","765","49","581","49","630","","0","581","49","630","24","606","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","120","1","3","25","12","11","425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140731","52","Донецька область","вул.Радянська, 106, смт Новгородське, м.Дзержинськ, Донецька обл., 85296","48.297451","37.8550833","512","122","504","40","352","38","390","","0","352","38","390","3","387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","23","7","4","25","7","8","303","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140734","52","Донецька область","вул.Дзержинського, 9, смт Щербинівка, м.Дзержинськ, Донецька обл., 85287","48.3899439","37.793983","1136","143","1119","112","884","109","993","","0","884","109","993","8","985","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","12","14","0","5","61","20","15","856","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140735","52","Донецька область","вул.Енгельса, 10, смт Петрівка, м.Дзержинськ, Донецька обл., 85287","48.4025941","37.8527539","768","253","752","83","432","83","515","","0","432","83","515","0","515","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","21","0","0","63","33","16","368","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140736","52","Донецька область","вул.Дзержинського, 55, м.Дзержинськ, Донецька обл., 85200","48.3950644","37.8815815","152","2","150","49","101","49","150","","0","101","49","150","5","145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","13","0","0","20","4","6","101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140737","52","Донецька область","вул.Херсонська, 1, м.Дзержинськ, Донецька обл., 85200","48.3920073","37.8591553","904","11","893","0","893","0","893","","0","893","0","893","20","873","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","5","3","6","7","10","12","8","816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141453","52","Донецька область","вул.Гуртянська, 18, м.Горлівка, Донецька обл., 84640","48.325074","38.167366","608","303","600","7","299","6","305","","0","299","6","305","9","296","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","13","72","2","3","22","16","4","162","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141455","52","Донецька область","вул.Бєлецького, 99А, м.Горлівка, Донецька обл., 84640","48.3576707","38.1741269","368","158","366","4","206","4","210","","0","206","4","210","0","210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","14","21","0","1","13","4","1","156","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141457","52","Донецька область","вул.Празька, 101, м.Горлівка, Донецька обл., 84612","48.3307548","38.1236287","1112","675","1102","31","408","29","437","","0","408","29","437","22","415","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","17","90","0","2","32","24","1","245","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141458","52","Донецька область","вул.Празька, 25, м.Горлівка, Донецька обл., 84612","48.321861","38.1211795","1128","674","1107","45","409","45","454","","0","409","45","454","17","437","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","17","63","2","4","42","21","3","283","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141459","52","Донецька область","вул.Красносільська, 6, м.Горлівка, Донецька обл., 84612","48.325052","38.1171489","1368","764","1365","25","579","25","604","","0","579","25","604","38","566","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","26","122","2","4","61","32","6","312","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141460","52","Донецька область","вул.Черникова, 26, м.Горлівка, Донецька обл., 84618","48.3205716","38.1284017","1696","915","1666","18","764","17","781","","0","764","17","781","45","736","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","42","129","10","5","66","36","14","429","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"141461","52","Донецька область","вул.Вільямса, 7, м.Горлівка, Донецька обл., 84618","48.3236829","38.1356488","1648","823","1628","14","813","12","825","","0","813","12","825","36","789","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","49","158","5","3","60","31","5","471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141462","52","Донецька область","вул.Немировича-Данченка, 7, м.Горлівка, Донецька обл., 84647","48.3251345","38.1404543","1896","1040","1859","17","843","13","856","","0","843","13","856","47","809","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","71","123","6","7","87","49","5","456","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141463","52","Донецька область","вул.Соколовського, 15, м.Горлівка, Донецька обл., 84618","48.3249383","38.1371355","2232","1258","2198","7","967","7","974","","0","967","7","974","35","939","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","71","149","4","8","68","52","7","574","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"141464","52","Донецька область","вул.Немировича-Данченка, 8, м.Горлівка, Донецька обл., 84647","48.3245901","38.1403173","2120","1153","2082","13","954","13","967","","0","954","13","967","50","917","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","123","197","10","1","98","29","7","447","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141465","52","Донецька область","вул.40 років України, 66, м.Горлівка, Донецька обл., 84647","48.05109","38.00522","2288","1224","2234","41","1030","34","1064","","0","1030","34","1064","64","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","126","160","7","7","110","58","8","521","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141466","52","Донецька область","вул.40 років України, 66, м.Горлівка, Донецька обл., 84647","48.05109","38.00522","2320","1284","2261","25","1014","22","1036","","0","1014","22","1036","54","982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","179","195","3","7","81","45","7","459","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141467","52","Донецька область","вул.Енергетична, 1, м.Горлівка, Донецька обл., 84604","48.3452234","38.0609502","1112","705","1088","22","385","22","407","","0","385","22","407","15","392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","19","59","0","4","26","10","4","268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141468","52","Донецька область","вул.Швидкого, 20, м.Горлівка, Донецька обл., 84604","48.345258","38.059207","1840","1057","1829","23","762","21","783","","0","762","21","783","30","753","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","33","153","5","10","88","30","8","423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.10.12"
"141469","52","Донецька область","вул.Шепелєва, 23, м.Горлівка, Донецька обл., 84624","48.3347795","38.0614545","592","273","600","14","308","11","319","","0","308","11","319","21","298","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","17","24","0","2","41","18","3","193","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141470","52","Донецька область","вул.Мазикових, 32, м.Горлівка, Донецька обл., 84624","48.333332","38.057718","2080","1079","2053","54","959","42","1001","","0","959","42","1001","61","940","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","69","162","7","11","101","70","14","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.10.12"
"141471","52","Донецька область","вул.Мазикових, 25, м.Горлівка, Донецька обл., 84624","48.3362355","38.0604957","2208","1181","2191","31","999","28","1027","","0","999","28","1027","51","976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","69","174","5","11","121","37","18","537","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141472","52","Донецька область","вул.Рогозіна, 10, м.Горлівка, Донецька обл., 84624","48.3317495","38.0582366","2264","1179","2239","30","1060","25","1085","","0","1060","25","1085","55","1030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","61","240","4","5","118","56","16","524","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141473","52","Донецька область","вул.Рогозіна, 10, м.Горлівка, Донецька обл., 84624","48.3317495","38.0582366","2296","1204","2236","10","1085","7","1092","","0","1085","7","1092","71","1021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","67","306","4","11","93","75","15","445","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141474","52","Донецька область","вул.Малинича, 34, м.Горлівка, Донецька обл., 84624","48.3316078","38.0651848","2240","1157","2208","14","1069","14","1083","","0","1069","14","1083","76","1007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","83","168","6","11","103","73","12","541","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141475","52","Донецька область","вул.Малинича, 34, м.Горлівка, Донецька обл., 84624","48.3316078","38.0651848","2240","1242","2216","31","975","23","998","","0","975","23","998","43","955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","59","162","2","6","108","48","13","552","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.10.12"
"141476","52","Донецька область","вул.Малинича, 32, м.Горлівка, Донецька обл., 84624","48.3321565","38.0648325","2208","1273","2173","20","917","18","935","","0","917","18","935","67","868","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","49","172","7","10","100","53","24","450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141477","52","Донецька область","вул.Безсонова, 31, м.Горлівка, Донецька обл., 84624","48.3357009","38.0646574","2200","1173","2175","36","1001","26","1027","","0","1001","26","1027","58","969","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","37","318","3","5","76","60","14","449","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141478","52","Донецька область","вул.Гречнєва, 4, м.Горлівка, Донецька обл., 84624","48.3302101","38.065102","2400","1326","2376","17","1060","14","1074","","0","1060","14","1074","65","1009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","64","254","8","6","118","60","19","476","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141479","52","Донецька область","вул.Гречнєва, 4, м.Горлівка, Донецька обл., 84624","48.3302101","38.065102","2248","1207","2217","13","1029","12","1041","","0","1029","12","1041","52","989","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","67","184","8","9","130","61","24","493","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"141480","52","Донецька область","вул.Малинича, 32, м.Горлівка, Донецька обл., 84624","48.3321565","38.0648325","2352","1323","2307","26","1003","26","1029","","0","1003","26","1029","64","965","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","55","217","5","12","123","51","17","477","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
