"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Войтович
Віталій
Володимирович","Загрева
Борис
Юхимович","Іванченко
Олександр
Анатолійович","Карпюк
Роман
Петрович","Красуля
Володимир
Анатолійович","Мартиняк
Сергій
Васильович","Маткобожик
Анатолій
Андрійович","Українець
Михайло
Григорович","Дата підписання протоколу"
"070501","20","Волинська область","школа, фойє
вул.Шевченка, 16, с.Рованці, Луцький р-н, Волинська обл., 45606","1120","393","1108","18","710","17","727","","0","710","17","727","16","711","12","65","73","275","15","258","5","8","29.10.12"
"070502","20","Волинська область","будинок культури, фойє
вул.Л.Українки, 2, с.Буяни, Луцький р-н, Волинська обл., 45621","736","240","724","31","468","28","496","","0","468","28","496","10","486","2","68","15","75","34","282","9","1","29.10.12"
"070503","20","Волинська область","клуб с.Усичі, актова зала
вул.Клубна, 5А, с.Усичі, Луцький р-н, Волинська обл., 45622","424","134","416","25","271","19","290","","0","271","19","290","8","282","3","43","11","41","10","166","4","4","29.10.12"
"070504","20","Волинська область","будинок культури с.Веселе, глядацький зал
вул.Торчинська, 2, с.Веселе, Луцький р-н, Волинська обл., 45611","576","181","567","60","336","59","395","","0","336","59","395","9","386","11","51","21","98","7","182","8","8","29.10.12"
"070505","20","Волинська область","будинок культури с.Воютин, фойє
вул.Шкільна, 1Б, с.Воютин, Луцький р-н, Волинська обл., 45645","768","340","752","14","415","13","428","","0","415","13","428","12","416","22","43","27","107","90","115","8","4","29.10.12"
"070506","20","Волинська область","будинок культури, танцювальний зал
вул.Горохівська, 63Б, с.Гірка Полонка, Луцький р-н, Волинська обл., 45607","800","335","791","8","458","7","465","","0","458","7","465","13","452","16","77","31","138","41","136","4","9","30.10.12"
"070507","20","Волинська область","школа, спортивний зал
вул.Шкільна, 3Б, с.Гірка Полонка, Луцький р-н, Волинська обл., 45607","1472","507","1450","8","959","6","965","","0","959","6","965","27","938","25","138","104","343","123","185","3","17","29.10.12"
"070508","20","Волинська область","Полонківське споживче товариство Луцької райспоживспілки
вул.Перемоги, 68, с.Полонка, Луцький р-н, Волинська обл., 45608","992","300","972","30","665","27","692","","0","665","27","692","15","677","15","125","85","293","25","117","12","5","29.10.12"
"070509","20","Волинська область","фельдшерсько-акушерський пункт, каб.1, 2
вул.Ветеранів, 38А, с.Оздів, Луцький р-н, Волинська обл., 45650","400","154","393","15","232","14","246","","0","232","14","246","5","241","13","24","31","84","11","71","5","2","29.10.12"
"070510","20","Волинська область","будинок культури с.Городище, фойє
вул.Шкільна, 35, с.Городище, Луцький р-н, Волинська обл., 45656","656","204","645","18","434","18","452","","0","434","18","452","8","444","25","87","27","82","45","169","2","7","29.10.12"
"070511","20","Волинська область","будинок культури, фойє
вул.Володимирська, 33Б, с.Забороль, Луцький р-н, Волинська обл., 45623","1168","470","1157","19","681","17","698","","0","681","17","698","23","675","26","136","82","188","21","193","13","16","29.10.12"
"070512","20","Волинська область","СГТзОВ Луцький ""Райсількомунгосп"", актова зала
вул.Володимирська, 5, с.Великий Омеляник, Луцький р-н, Волинська обл., 45624","976","408","968","23","550","18","568","","0","550","18","568","23","545","24","66","98","203","19","111","16","8","29.10.12"
"070513","20","Волинська область","фельдшерсько-акушерський пункт, каб.1
вул.Центральна, 56А, с.Антонівка, Луцький р-н, Волинська обл., 45623","312","151","306","4","158","3","161","","0","158","3","161","5","156","14","13","13","57","5","49","2","3","29.10.12"
"070514","20","Волинська область","клуб, актова зала
вул.Лесі Українки, 82, с.Коршів, Луцький р-н, Волинська обл., 45651","496","132","490","34","334","30","364","","0","334","30","364","10","354","13","108","25","86","21","89","6","6","29.10.12"
"070515","20","Волинська область","школа, актова зала
вул.Шкільна, 1, с.Лаврів, Луцький р-н, Волинська обл., 45663","904","430","889","16","458","16","474","","0","458","16","474","9","465","14","85","39","141","71","102","5","8","29.10.12"
"070516","20","Волинська область","будинок культури, фойє
вул.Центральна, 7, с.Липини, Луцький р-н, Волинська обл., 45601","1568","554","1550","23","992","22","1014","","0","992","22","1014","40","974","30","132","145","405","36","196","10","20","29.10.12"
"070517","20","Волинська область","школа, спортивний зал
вул.Центральна, 9, с.Липини, Луцький р-н, Волинська обл., 45601","1528","490","1510","20","1020","18","1038","","0","1020","18","1038","23","1015","30","162","155","437","20","174","13","24","30.10.12"
"070518","20","Волинська область","будинок культури, фойє
вул.Центральна, 80, с.Лище, Луцький р-н, Волинська обл., 45638","1480","570","1473","29","890","20","910","","0","890","20","910","27","883","39","73","119","318","75","231","6","22","29.10.12"
"070519","20","Волинська область","клуб, фойє
вул.17 Вересня, 66А, с.Воротнів, Луцький р-н, Волинська обл., 45639","616","244","610","19","354","18","372","","0","354","18","372","11","361","8","28","34","112","22","149","5","3","29.10.12"
"070520","20","Волинська область","сільська рада, сесійний зал
вул.17 Вересня, 77, с.Маяки, Луцький р-н, Волинська обл., 45630","1720","721","1664","30","972","27","999","","0","972","27","999","26","973","29","85","113","375","114","229","15","13","29.10.12"
"070521","20","Волинська область","МП ""Індустрія"", хол
вул.Медична, 25А, с.Зміїнець, Луцький р-н, Волинська обл., 45632","1784","605","1763","11","1173","6","1179","","0","1173","6","1179","35","1144","38","146","200","483","31","204","20","22","29.10.12"
"070522","20","Волинська область","клуб с.Милуші, глядацький зал
вул.Тарасова, 50, с.Милуші, Луцький р-н, Волинська обл., 45631","840","268","831","24","552","20","572","","0","552","20","572","21","551","18","64","71","223","27","129","7","12","29.10.12"
"070523","20","Волинська область","клуб с.Сирники, глядацький зал
вул.Комка, 33А, с.Сирники, Луцький р-н, Волинська обл., 45633","520","208","511","22","290","22","312","","0","290","22","312","16","296","5","44","21","104","23","92","2","5","29.10.12"
"070524","20","Волинська область","школа, спортивний зал
вул.Центральна, 50, с.Несвіч, Луцький р-н, Волинська обл., 45652","656","245","650","35","380","31","411","","0","380","31","411","14","397","8","82","26","103","6","166","1","5","02.11.12"
"070525","20","Волинська область","школа с.Одеради, спортивний зал
вул.Центральна, 39, с.Одеради, Луцький р-н, Волинська обл., 45642","432","136","429","20","280","16","296","","0","280","16","296","13","283","3","58","14","115","4","78","8","3","29.10.12"
"070526","20","Волинська область","приміщення контори колишнього колективного сільськогосподарського підприємства імені Лесі Українки
вул.Центральна, 42А, с.Одеради, Луцький р-н, Волинська обл., 45642","312","129","312","26","161","22","183","","0","161","22","183","6","177","20","40","11","36","4","59","5","2","29.10.12"
"070527","20","Волинська область","будинок культури, концертний зал
вул.Шкільна, 28, с.Підгайці, Луцький р-н, Волинська обл., 45602","1472","572","1451","11","890","10","900","","0","890","10","900","13","887","36","73","143","408","39","168","1","19","29.10.12"
"070528","20","Волинська область","сільська рада, актова зала
вул.Шкільна, 30, с.Підгайці, Луцький р-н, Волинська обл., 45602","1456","491","1449","11","957","8","965","","0","957","8","965","33","932","24","97","121","389","62","218","5","16","29.10.12"
"070529","20","Волинська область","клуб, концертний зал
вул.Центральна, 89, с.Крупа, Луцький р-н, Волинська обл., 45604","656","251","649","11","395","10","405","","0","395","10","405","8","397","16","41","49","119","30","130","5","7","29.10.12"
"070530","20","Волинська область","ВАТ ""Волиньагрохім"", актова зала
вул.Старицького, 84, с.Струмівка, Луцький р-н, Волинська обл., 45603","880","354","869","9","521","5","526","","0","521","5","526","23","503","19","34","100","176","8","152","4","10","29.10.12"
"070531","20","Волинська область","будинок культури, гурткова кімната
вул.Перемоги, 5, с.Піддубці, Луцький р-н, Волинська обл., 45635","880","277","873","20","586","17","603","","0","586","17","603","15","588","24","98","87","140","65","156","9","9","29.10.12"
"070532","20","Волинська область","клуб, глядацький зал
вул.Вишнева, 87А, с.Гаразджа, Луцький р-н, Волинська обл., 45636","824","311","816","17","498","15","513","","0","498","15","513","20","493","29","50","44","155","18","180","13","4","29.10.12"
"070533","20","Волинська область","сільська рада, актова зала
вул.Миру, 11, с.Промінь, Луцький р-н, Волинська обл., 45660","736","266","723","20","451","19","470","","0","451","19","470","15","455","13","49","39","118","72","150","5","9","29.10.12"
"070534","20","Волинська область","школа с.Мстишин, каб.2
вул.Жовтнева, 52, с.Мстишин, Луцький р-н, Волинська обл., 45662","464","188","463","13","263","13","276","","0","263","13","276","15","261","15","20","13","83","30","89","3","8","29.10.12"
"070535","20","Волинська область","будинок культури с.Радомишль, танцювальний зал
вул.Центральна, 34, с.Радомишль, Луцький р-н, Волинська обл., 45664","752","301","743","9","443","8","451","","0","443","8","451","14","437","7","55","19","120","114","106","5","11","29.10.12"
"070536","20","Волинська область","народний дім ""Просвіта"", зал засідань
вул.Перемоги, 9, с.Ратнів, Луцький р-н, Волинська обл., 45650","744","177","733","9","558","9","567","","0","558","9","567","13","554","7","83","13","83","40","309","11","8","29.10.12"
"070537","20","Волинська область","будинок культури с.Романів, фойє
вул.Першотравнева, 55, с.Романів, Луцький р-н, Волинська обл., 45637","1080","352","1067","67","671","57","728","","0","671","57","728","18","710","9","64","31","112","51","424","10","9","29.10.12"
"070538","20","Волинська область","школа с.Садів, фойє
вул.Незалежності, 44, с.Садів, Луцький р-н, Волинська обл., 45640","728","269","720","64","402","57","459","","0","402","57","459","0","459","18","111","24","141","61","91","6","7","29.10.12"
"070539","20","Волинська область","школа с.Смолигів, спортивний зал
вул.Шкільна, 8, с.Смолигів, Луцький р-н, Волинська обл., 45614","728","245","722","39","446","37","483","","0","446","37","483","4","479","5","198","12","57","4","193","4","6","29.10.12"
"070540","20","Волинська область","будинок культури с.Хорохорин, вестибюль
вул.Незалежності, 44А, с.Хорохорин, Луцький р-н, Волинська обл., 45610","544","199","534","39","311","34","345","","0","311","34","345","14","331","13","93","21","46","6","142","5","5","29.10.12"
"070541","20","Волинська область","школа с.Чаруків, вестибюль
вул.Шкільна, 23, с.Чаруків, Луцький р-н, Волинська обл., 45653","1136","506","1117","24","606","24","630","","0","606","24","630","15","615","23","85","46","184","64","186","16","11","29.10.12"
"070542","20","Волинська область","будинок культури с.Шепель, актова зала
вул.Миру, 43Б, с.Шепель, Луцький р-н, Волинська обл., 45620","656","219","646","41","399","38","437","","0","399","38","437","17","420","6","72","25","71","5","226","6","9","29.10.12"
"070543","20","Волинська область","Луцька центральна районна лікарня, актова зала
вул.Теремнівська, 100, с.Липини, Луцький р-н, Волинська обл., 45601","168","135","37","19","18","15","33","","0","18","15","33","1","32","3","1","2","9","2","13","1","1","29.10.12"
"070544","20","Волинська область","Торчинська районна лікарня, хол терапевтичного відділення
вул.Незалежності, 57, смт Торчин, Луцький р-н, Волинська обл., 45612","56","29","29","4","23","4","27","","0","23","4","27","0","27","2","4","3","5","0","12","1","0","29.10.12"
"070781","20","Волинська область","районний будинок культури, зала
вул.Драгоманова, 10, м.Рожище, Рожищенський р-н, Волинська обл., 45100","2240","943","2207","18","1283","14","1297","","0","1283","14","1297","27","1270","82","257","76","494","78","237","22","24","29.10.12"
"070782","20","Волинська область","школа №2, актова зала
вул.Драгоманова, 5, м.Рожище, Рожищенський р-н, Волинська обл., 45100","2240","934","2229","38","1272","34","1306","","0","1272","34","1306","34","1272","105","257","75","487","82","228","20","18","29.10.12"
"070783","20","Волинська область","школа №1, спортивний зал
вул.1 Травня, 5, м.Рожище, Рожищенський р-н, Волинська обл., 45100","1712","704","1712","42","972","36","1008","","0","972","36","1008","29","979","61","165","62","430","71","160","15","15","29.10.12"
"070784","20","Волинська область","Рожищенський коледж ім.Гжицького, актова зала
вул.Грушевського, 14, м.Рожище, Рожищенський р-н, Волинська обл., 45100","2072","855","2063","51","1175","42","1217","","0","1175","42","1217","26","1191","62","232","79","481","71","224","25","17","29.10.12"
"070785","20","Волинська область","школа №3, фойє
вул.К.Шилокадзе, 10, м.Рожище, Рожищенський р-н, Волинська обл., 45100","2016","832","1997","26","1159","25","1184","","0","1159","25","1184","25","1159","66","258","91","453","76","182","21","12","29.10.12"
"070786","20","Волинська область","громадсько-побутовий центр, зала
вул.Зелена, 48, смт Дубище, Рожищенський р-н, Волинська обл., 45109","1440","579","1423","43","819","42","861","","0","819","42","861","25","836","68","150","62","288","100","141","13","14","29.10.12"
"070787","20","Волинська область","школа, фойє
вул.Перемоги, 29А, с.Березолуки, Рожищенський р-н, Волинська обл., 45144","296","75","288","23","198","23","221","","0","198","23","221","5","216","9","38","12","69","14","63","5","6","29.10.12"
"070788","20","Волинська область","будинок культури, актова зала
вул.Лесі Українки, 43А, с.Підгірне, Рожищенський р-н, Волинська обл., 45144","232","76","228","11","145","11","156","","0","145","11","156","5","151","11","47","3","36","2","43","2","7","29.10.12"
"070789","20","Волинська область","школа, фойє
вул.1Травня, 17А, с.Кроватка, Рожищенський р-н, Волинська обл., 45144","192","56","191","8","128","8","136","","0","128","8","136","3","133","9","15","4","54","8","39","2","2","02.11.12"
"070790","20","Волинська область","школа, зала
вул.Ватутіна, 16А, с.Яблунівка, Рожищенський р-н, Волинська обл., 45144","96","23","96","10","64","9","73","","0","64","9","73","0","73","2","18","3","10","3","34","1","2","29.10.12"
"070791","20","Волинська область","школа, фойє
вул.Перемоги, 4, с.Береськ, Рожищенський р-н, Волинська обл., 45135","456","164","446","29","268","24","292","","0","268","24","292","8","284","22","103","16","37","12","80","9","5","29.10.12"
"070792","20","Волинська область","будинок культури, актова зала
вул.Миру, 2, с.Вічині, Рожищенський р-н, Волинська обл., 45134","312","104","305","6","203","5","208","","0","203","5","208","9","199","5","43","9","30","8","99","1","4","29.10.12"
"070793","20","Волинська область","будинок культури, актова зала
вул.Незалежності, 26А, с.Ворончин, Рожищенський р-н, Волинська обл., 45136","392","113","387","43","244","35","279","","0","244","35","279","6","273","21","72","10","50","18","94","5","3","29.10.12"
"070794","20","Волинська область","будинок культури, актова зала
вул.Радянська, 9, с.Студині, Рожищенський р-н, Волинська обл., 45136","184","47","180","14","123","14","137","","0","123","14","137","1","136","3","50","7","22","4","49","0","1","29.10.12"
"070795","20","Волинська область","школа, фойє
вул.Центральна, 9, с.Городині, Рожищенський р-н, Волинська обл., 45152","264","85","257","31","151","28","179","","0","151","28","179","4","175","12","39","14","30","5","70","4","1","29.10.12"
"070796","20","Волинська область","школа, фойє
вул.Шевченка, 2, с.Доросині, Рожищенський р-н, Волинська обл., 45133","744","278","731","52","417","49","466","","0","417","49","466","16","450","12","45","20","122","90","152","5","4","29.10.12"
"070797","20","Волинська область","будинок культури, актова зала
вул.Лобушняка, 11, с.Кияж, Рожищенський р-н, Волинська обл., 45133","256","79","251","16","164","13","177","","0","164","13","177","2","175","5","50","4","67","5","42","2","0","29.10.12"
"070798","20","Волинська область","будинок культури, актова зала
вул.Фрунзе, 33, с.Залісці, Рожищенський р-н, Волинська обл., 45143","448","136","440","35","277","35","312","","0","277","35","312","3","309","28","64","22","71","11","100","7","6","29.10.12"
"070799","20","Волинська область","школа, кабінет історії
вул.Шкільна, 18, с.Іванчиці, Рожищенський р-н, Волинська обл., 45154","232","69","223","24","140","23","163","","0","140","23","163","0","163","4","50","9","30","5","61","1","3","29.10.12"
"070800","20","Волинська область","фельдшерсько-акушерський пункт, каб.2
вул.Садова, 80, с.Озденіж, Рожищенський р-н, Волинська обл., 45154","136","51","131","14","74","11","85","","0","74","11","85","1","84","9","17","5","19","4","28","1","1","29.10.12"
"070801","20","Волинська область","школа, їдальня
вул.Жовтнева, 3, с.Копачівка, Рожищенський р-н, Волинська обл., 45150","1304","487","1298","48","776","41","817","","0","776","41","817","27","790","49","156","55","194","74","239","7","16","29.10.12"
"070802","20","Волинська область","будинок культури, кабінет директора
вул.Нова, 7, с.Тростянка, Рожищенський р-н, Волинська обл., 45150","224","65","223","10","151","8","159","","0","151","8","159","4","155","4","26","14","38","7","57","7","2","29.10.12"
"070803","20","Волинська область","будинок культури, актова зала
вул.Лісова, 39, с.Башова, Рожищенський р-н, Волинська обл., 45150","192","39","192","11","142","11","153","","0","142","11","153","0","153","8","19","7","36","4","71","4","4","29.10.12"
"070804","20","Волинська область","будинок культури, актова зала
вул.Центральна, 12, с.Кобче, Рожищенський р-н, Волинська обл., 45107","200","46","198","17","139","15","154","","0","139","15","154","4","150","4","29","1","36","4","73","2","1","29.10.12"
"070805","20","Волинська область","будинок культури, актова зала
вул.Рожищенська, 38, с.Кременець, Рожищенський р-н, Волинська обл., 45151","712","252","711","37","428","32","460","","0","428","32","460","9","451","71","74","33","165","17","85","2","4","28.10.12"
"070806","20","Волинська область","будинок культури, фойє
вул.І. Франка, 17Б, с.Літогоща, Рожищенський р-н, Волинська обл., 45111","352","106","346","36","213","33","246","","0","213","33","246","2","244","12","48","14","65","6","96","2","1","29.10.12"
"070807","20","Волинська область","будинок культури, фойє
вул.Перемоги, 4А, с.Іванівка, Рожищенський р-н, Волинська обл., 45111","200","44","196","16","141","15","156","","0","141","15","156","1","155","6","25","6","43","3","55","14","3","29.10.12"
"070808","20","Волинська область","будинок культури, фойє
вул.А.Савчук, 36А, с.Любче, Рожищенський р-н, Волинська обл., 45142","512","148","502","41","325","39","364","","0","325","39","364","8","356","26","70","17","82","6","146","5","4","29.10.12"
"070809","20","Волинська область","школа, фойє
вул.8 Березня, школа, с.Луків, Рожищенський р-н, Волинська обл., 45115","480","151","474","53","276","53","329","","0","276","53","329","11","318","10","90","14","92","11","98","3","0","29.10.12"
"070810","20","Волинська область","школа, спортивний зал
вул.1 Травня, 19, с.Крижівка, Рожищенський р-н, Волинська обл., 45116","392","129","381","37","231","32","263","","0","231","32","263","11","252","15","54","12","59","9","99","2","2","29.10.12"
"070811","20","Волинська область","будинок культури, фойє
вул.Першотравнева, 25, с.Мильськ, Рожищенський р-н, Волинська обл., 45117","320","73","318","15","232","15","247","","0","232","15","247","5","242","11","113","2","22","8","74","6","6","29.10.12"
"070812","20","Волинська область","школа, фойє
вул.Луцька, 25А, с.Берегове, Рожищенський р-н, Волинська обл., 45117","176","42","168","8","128","6","134","","0","128","6","134","2","132","7","35","7","30","0","50","3","0","29.10.12"
"070813","20","Волинська область","будинок культури, актова зала
вул.Б. Хмельницького, 1, с.Навіз, Рожищенський р-н, Волинська обл., 45112","736","172","731","78","490","74","564","","0","490","74","564","12","552","35","225","21","107","22","125","12","5","29.10.12"
"070814","20","Волинська область","сільська рада, кабінет голови
вул.Ветеранів, 16Б, с.Немир, Рожищенський р-н, Волинська обл., 45122","328","99","322","9","220","9","229","","0","220","9","229","4","225","19","69","3","44","6","81","2","1","02.11.12"
"070815","20","Волинська область","фельдшерсько-акушерський пункт, каб.2
вул.Квітнева, 12, с.Раймісто, Рожищенський р-н, Волинська обл., 45122","152","38","149","7","109","5","114","","0","109","5","114","1","113","11","15","7","25","2","46","6","1","29.10.12"
"070816","20","Волинська область","будинок культури, актова зала
вул.Молодіжна, 8, с.Носачевичі, Рожищенський р-н, Волинська обл., 45108","272","96","272","31","149","27","176","","0","149","27","176","1","175","15","44","3","32","5","68","6","2","29.10.12"
"070817","20","Волинська область","будинок культури, актова зала
вул.Вишнева, 9, с.Вишеньки, Рожищенський р-н, Волинська обл., 45108","240","55","239","14","171","14","185","","0","171","14","185","3","182","7","29","2","67","4","67","4","2","29.10.12"
"070818","20","Волинська область","будинок культури, актова зала
вул.Прилісна, 65А, с.Єлизаветин, Рожищенський р-н, Волинська обл., 45108","304","72","298","22","210","22","232","","0","210","22","232","3","229","16","70","10","68","13","46","4","2","29.10.12"
"070819","20","Волинська область","будинок культури, фойє
вул.Миру, 3, с.Переспа, Рожищенський р-н, Волинська обл., 45123","928","332","923","73","533","63","596","","0","533","63","596","25","571","33","150","36","112","61","154","15","10","29.10.12"
"070820","20","Волинська область","будинок культури, актова зала
вул.Котельникова, 2, с.Трилісці, Рожищенський р-н, Волинська обл., 45123","200","67","192","21","113","20","133","","0","113","20","133","3","130","12","40","12","24","2","36","2","2","29.10.12"
"070821","20","Волинська область","будинок культури, актова зала
вул.Центральна, 70А, с.Малинівка, Рожищенський р-н, Волинська обл., 45123","184","51","187","22","111","22","133","","0","111","22","133","5","128","13","32","10","36","6","28","2","1","29.10.12"
"070822","20","Волинська область","школа, фойє
вул.Радянська, 42В, с.Пожарки, Рожищенський р-н, Волинська обл., 45140","504","214","495","29","263","27","290","","0","263","27","290","13","277","8","74","15","77","9","73","11","10","29.10.12"
"070823","20","Волинська область","школа, фойє
вул.Миру, 46Б, с.Оленівка, Рожищенський р-н, Волинська обл., 45140","256","84","246","18","154","18","172","","0","154","18","172","9","163","13","37","11","26","6","64","6","0","29.10.12"
"070824","20","Волинська область","будинок культури, актова зала
вул.Жовтнева, 18А, с.Рудка-Козинська, Рожищенський р-н, Волинська обл., 45141","592","158","579","43","393","41","434","","0","393","41","434","10","424","24","57","48","197","14","65","9","10","28.10.12"
